agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
actor-only,gpt-5.2,tw-cooking-3,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,50,67,45,149182,397,149579,0.26106850000000004,0.0055580000000000004,0.26662650000000004,1767216411.8740654,,147.6218671798706,0.02,6.6854304414389725e-06,,1767216609.4959326
actor-only,gpt-5.2,tw-cooking-3,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,58,67,45,172049,452,172501,0.30108575000000004,0.006327999999999999,0.30741375000000004,1767216610.6734521,,157.86445236206055,0.017241379310344827,5.797067843084968e-06,,1767216826.5379045
actor-only,gpt-5.2,tw-cooking-3,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,48,61,41,137698,390,138088,0.24097149999999998,0.00546,0.24643149999999997,1767216827.688438,,130.84042525291443,0.020833333333333332,7.241758878396385e-06,,1767217006.5288632
actor-only,gpt-5.2,tw-cooking-3,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.21428571428571427,28,84,56,78319,216,78535,0.13705825,0.0030239999999999998,0.14008225,1767217007.6837504,,72.03524804115295,0.007653061224489796,2.7285377766055168e-06,,1767217107.7189984
actor-only,gpt-5.2,tw-cooking-3,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.7058823529411765,90,91,61,267845,637,268482,0.46872875,0.008917999999999999,0.47764675,1767217108.9430795,,265.9081492424011,0.00784313725490196,2.6291608113064434e-06,,1767217464.8512287
actor-only,gpt-5.2,tw-cooking-3,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.6470588235294118,32,75,50,86795,265,87060,0.15189125,0.0037099999999999998,0.15560125,1767217466.0248654,,82.65670895576477,0.02022058823529412,7.432331995513575e-06,,1767217580.6815743
actor-only,gpt-5.2,tw-cooking-3,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.0,96,96,64,278017,653,278670,0.48652975000000004,0.009142,0.49567175,1767217581.870451,,246.14575123786926,0.0,0.0,,1767217924.0162022
actor-only,gpt-5.2,tw-cooking-3,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.125,19,100,69,50734,134,50868,0.0887845,0.001876,0.0906605,1767217925.1359894,,44.601956367492676,0.006578947368421052,2.4573405677439648e-06,,1767217988.7379458
actor-only,gpt-5.2,tw-cooking-3,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4117647058823529,61,100,75,181834,455,182289,0.3182095,0.00637,0.32457949999999997,1767217989.9254465,,174.08884620666504,0.006750241080038573,2.2588565732564934e-06,,1767218225.0142927
actor-only,gpt-5.2,tw-cooking-3,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.0,100,100,68,289353,653,290006,0.50636775,0.009142,0.51550975,1767218226.2069263,,293.92234086990356,0.0,0.0,,1767218620.1292672
