agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
truncate-1,gpt-4.1-mini,tw-cooking-1,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,6,4541,78,4619,0.0036328000000000003,0.0002496,0.0038824000000000003,1763646510.4376802,,3.7400050163269043,0.3333333333333333,0.00021649707728945658,,1763646517.1776853
truncate-1,gpt-4.1-mini,tw-cooking-1,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,6,4627,76,4703,0.0037016,0.00024320000000000003,0.0039448,1763646518.548712,,1.2812199592590332,0.3333333333333333,0.00021263023601956197,,1763646522.829932
truncate-1,gpt-4.1-mini,tw-cooking-1,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4601,73,4674,0.0036808,0.0002336,0.0039144,1763646522.3254995,,4.203200578689575,0.3333333333333333,0.0002139495079161318,,1763646529.5287
truncate-1,gpt-4.1-mini,tw-cooking-1,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4386,85,4471,0.0035088000000000003,0.00027200000000000005,0.0037808000000000004,1763646530.8452828,,1.415360450744629,0.3333333333333333,0.00022366360993066427,,1763646535.2606432
truncate-1,gpt-4.1-mini,tw-cooking-1,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4348,75,4423,0.0034784000000000004,0.00023999999999999998,0.0037184,1763646536.4746382,,0.9391083717346191,0.3333333333333333,0.00022609088853719196,,1763646540.4137466
truncate-1,gpt-4.1-mini,tw-cooking-1,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4833,70,4903,0.0038664,0.000224,0.0040904,1763646541.6928883,,1.209822416305542,0.3333333333333333,0.00020395676116663266,,1763646545.9027107
truncate-1,gpt-4.1-mini,tw-cooking-1,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4340,74,4414,0.0034720000000000003,0.0002368,0.0037088000000000004,1763646547.1730287,,0.9894323348999023,0.3333333333333333,0.00022655188038060717,,1763646551.162461
truncate-1,gpt-4.1-mini,tw-cooking-1,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4862,77,4939,0.0038896,0.0002464,0.004136,1763646552.462433,,-0.6520230770111084,0.3333333333333333,0.00020247013565499088,,1763646554.81041
truncate-1,gpt-4.1-mini,tw-cooking-1,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,6,4435,82,4517,0.003548,0.00026240000000000004,0.0038104,1763646556.1150928,,2.738632917404175,0.3333333333333333,0.00022138587558113792,,1763646561.8537257
truncate-1,gpt-4.1-mini,tw-cooking-1,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4695,81,4776,0.0037560000000000007,0.0002592,0.004015200000000001,1763646563.2076838,,6.650547742843628,0.3333333333333333,0.00020938023450586265,,1763646572.8582315
