step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You're now in the kitchen.

You can see a closed fridge nearby. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a raw red potato, a banana, a red apple, a raw purple potato, a cookbook and a knife. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.",You are carrying: a raw yellow potato and a yellow bell pepper.,0 of 16,0.0,False,
1,,I should examine the cookbook on the counter to find the recipe.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
red potato
  carrot
  yellow potato
  red onion
  pork chop

Directions:
slice the red potato
  roast the red potato
  slice the carrot
  roast the carrot
  chop the yellow potato
  fry the yellow potato
  slice the red onion
  fry the red onion
  slice the pork chop
  roast the pork chop
  prepare meal",Kitchen,"You're now in the kitchen.

You can see a closed fridge nearby. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a raw red potato, a banana, a red apple, a raw purple potato, a cookbook and a knife. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.",You are carrying: a raw yellow potato and a yellow bell pepper.,0 of 16,0.0,False,
2,,I should take the raw red potato from the counter so I have it for the recipe.,take red potato from counter,,"You take the red potato from the counter.



Your score has just gone up by one point.",Kitchen,"You're now in the kitchen.

You can see a closed fridge nearby. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato, a cookbook and a knife. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.","You are carrying: a raw red potato, a raw yellow potato and a yellow bell pepper.",1 of 16,0.0625,False,
3,,"I should open the fridge to look for the carrot, red onion, and pork chop needed by the recipe.",open fridge,,"You open the fridge, revealing a red onion, a carrot, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion.",Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a carrot, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato, a cookbook and a knife. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.","You are carrying: a raw red potato, a raw yellow potato and a yellow bell pepper.",1 of 16,0.0625,False,
4,,I should take the knife from the counter so I can slice and chop ingredients.,take knife from counter,,You take the knife from the counter.,Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a carrot, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.","You are carrying: a knife, a raw red potato, a raw yellow potato and a yellow bell pepper.",1 of 16,0.0625,False,
5,,I should take the carrot from the fridge so I have that ingredient for the recipe.,take carrot from fridge,,"You take the carrot from the fridge.



Your score has just gone up by one point.",Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.","You are carrying: a carrot, a knife, a raw red potato, a raw yellow potato and a yellow bell pepper.",2 of 16,0.125,False,
6,,I should take the red onion from the fridge so I have all ingredients.,take red onion from fridge,,You're carrying too many things already.,Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.","You are carrying: a carrot, a knife, a raw red potato, a raw yellow potato and a yellow bell pepper.",2 of 16,0.125,False,
7,,I should free up inventory space by dropping the unnecessary yellow bell pepper.,drop yellow bell pepper,,You drop the yellow bell pepper on the ground.,Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.

There is a yellow bell pepper on the floor.","You are carrying: a carrot, a knife, a raw red potato and a raw yellow potato.",2 of 16,0.125,False,
8,,I should free inventory space by placing the raw yellow potato on the counter so I can take the red onion and pork chop.,put raw yellow potato on counter,,You put the yellow potato on the counter.,Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a red onion, a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a raw yellow potato, a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.

There is a yellow bell pepper on the floor.","You are carrying: a carrot, a knife and a raw red potato.",2 of 16,0.125,False,
9,,I should take the red onion from the fridge so I have it for the recipe.,take red onion from fridge,,"You take the red onion from the fridge.



Your score has just gone up by one point.",Kitchen,"You're now in the kitchen.

You can see an opened fridge nearby. The fridge contains a raw pork chop, an orange bell pepper, a block of cheese, a red hot pepper and a white onion. You make out a closed oven. Look out! It's a- oh, never mind, it's just a table. The table is massive. Looks like someone's already been here and taken everything off it, though. Hopefully, this discovery doesn't ruin your TextWorld experience! You can make out a counter. On the counter you make out a raw yellow potato, a banana, a red apple, a raw purple potato and a cookbook. You see a stove. The stove appears to be empty. You think about smashing the stove to bits, throwing the bits into a pit, etc, until you get bored and decide to move on.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going north.

There is a yellow bell pepper on the floor.","You are carrying: a red onion, a carrot, a knife and a raw red potato.",3 of 16,0.1875,False,
