agent_name,model_name,eval_name,chunk_size,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,question,stop_time
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,20,"""20""",1.0,3,5701,199,5900,0.0045608,0.0006368000000000001,0.0051976,1758655019.9935818,,8.798943758010864,0.3333333333333333,0.00016949152542372882,,0,Answer the following question:,At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,1758655028.7925255
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,Knoedler,"""Peter Arrell Browne Widener bought the 'Portrait of Elena Grimaldi Cattaneo' from the Knoedler art dealership in 1906.""",1.0,6,5841,632,6473,0.0046728,0.0020224,0.0066952,1758655029.8040302,,19.807802438735962,0.16666666666666666,0.0001544878727019929,,1,Answer the following question:,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",1758655049.6118326
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,Anna Bruun Tordenskjold,"""Anna Bruun Tordenskjold""",1.0,3,5865,209,6074,0.004692000000000001,0.0006688000000000001,0.005360800000000001,1758655050.624245,,9.366168975830078,0.3333333333333333,0.00016463615409944023,,2,Answer the following question:,What was composer Sigrid Ingeborg Henriette Wienecke's mother's name?,1758655059.990414
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Geography,,"77,482.49","""According to the India State of Forest Report 2019, Madhya Pradesh has the largest forest cover in India with an area of approximately 77,000 square kilometers.""",0.0,9,52159,928,53087,0.0417272,0.0029696,0.0446968,1758655060.999482,,31.548847436904907,0.0,0.0,,3,Answer the following question:,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,1758655092.5483294
react-c14,gpt-4.1-mini,simple-qa-100,14,0,TV shows,,Alison Garrs,"""Alison Garrs""",1.0,3,4592,216,4808,0.0036736,0.0006912,0.0043648,1758655093.5667136,,9.077088117599487,0.3333333333333333,0.00020798668885191348,,4,Answer the following question:,Who kills Daryl Garrs in Happy Valley?,1758655102.6438017
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Politics,,165,"""Mary Ann Arty served in the 165th district in the Pennsylvania House of Representatives in 1981.""",1.0,9,24695,658,25353,0.019756000000000003,0.0021056,0.021861600000000002,1758655103.659697,,26.893991231918335,0.1111111111111111,3.944306393720664e-05,,5,Answer the following question:,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,1758655130.5536883
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Science and technology,,1843,"""1843""",1.0,6,8721,488,9209,0.0069768,0.0015616,0.0085384,1758655131.5662067,,19.800415992736816,0.16666666666666666,0.0001085894233901618,,6,Answer the following question:,"In what year did Augustus De Morgan publish the article ""Trochoidal Curve"" in the Penny Cyclopaedia?",1758655151.3666227
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Music,,1946.,"""George Avakian was discharged from the U.S. Army around 1945.""",0.0,6,40381,461,40842,0.0323048,0.0014752,0.033780000000000004,1758655152.376069,,19.5222487449646,0.0,0.0,,7,Answer the following question:,In what year was American music producer George Avakian discharged from the U.S. Army?,1758655171.8983178
react-c14,gpt-4.1-mini,simple-qa-100,14,0,Art,,the Slade School of Art ,"""Slade School of Art""",1.0,3,5641,172,5813,0.0045128,0.0005504,0.0050632,1758655172.9098132,,8.08198618888855,0.3333333333333333,0.0001720282126268708,,8,Answer the following question:,From what school did Phyllida Barlow graduate in 1966?,1758655180.9917994
react-c14,gpt-4.1-mini,simple-qa-100,14,0,TV shows,,Peters,"""Peters""",1.0,4,5934,264,6198,0.0047472,0.0008448000000000002,0.005592,1758655182.002711,,11.484014511108398,0.25,0.00016134236850596966,,9,Answer the following question:,"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",1758655193.4867256
