agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline,gpt-4.1-mini,tw-cooking-3,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5333333333333333,21,61,41,98444,629,99073,0.07875520000000001,0.0020128,0.080768,1762435400.573821,,25.1504008769989,0.025396825396825397,5.3832359304082174e-06,,1762435446.724222
baseline,gpt-4.1-mini,tw-cooking-3,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35714285714285715,21,54,36,86294,597,86891,0.0690352,0.0019104,0.07094560000000001,1762435447.923425,,20.306150436401367,0.017006802721088437,4.110239922924781e-06,,1762435489.2295754
baseline,gpt-4.1-mini,tw-cooking-3,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.8666666666666667,61,61,41,532450,1658,534108,0.42596,0.005305600000000001,0.4312656,1762435490.4326398,,239.87772703170776,0.014207650273224045,1.6226431108814448e-06,,1762435791.3103669
baseline,gpt-4.1-mini,tw-cooking-3,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.7333333333333333,60,60,40,574498,1649,576147,0.45959839999999996,0.005276800000000001,0.4648752,1762435792.456651,,329.85227608680725,0.012222222222222221,1.2728233130318013e-06,,1762436182.308927
baseline,gpt-4.1-mini,tw-cooking-3,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.2857142857142857,21,58,39,80062,512,80574,0.0640496,0.0016384,0.065688,1762436183.5274413,,23.844844341278076,0.013605442176870748,3.5459861210103223e-06,,1762436228.3722856
baseline,gpt-4.1-mini,tw-cooking-3,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.26666666666666666,28,60,40,123946,780,124726,0.0991568,0.002496,0.1016528,1762436229.6042101,,33.27999448776245,0.009523809523809523,2.1380198728947186e-06,,1762436290.8842046
baseline,gpt-4.1-mini,tw-cooking-3,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.375,36,63,42,230558,1112,231670,0.1844464,0.0035583999999999998,0.1880048,1762436292.156977,,61.73222899436951,0.010416666666666666,1.6186817455863944e-06,,1762436389.889206
baseline,gpt-4.1-mini,tw-cooking-3,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,19,60,40,65050,637,65687,0.05204,0.0020384,0.054078400000000006,1762436391.1093175,,22.935254096984863,0.01644736842105263,4.757410142037237e-06,,1762436433.0445716
baseline,gpt-4.1-mini,tw-cooking-3,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.8,34,58,39,210483,859,211342,0.16838640000000002,0.0027488,0.17113520000000002,1762436434.2632246,,61.845399379730225,0.023529411764705882,3.785333724484485e-06,,1762436530.108624
baseline,gpt-4.1-mini,tw-cooking-3,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.875,37,61,41,233140,1136,234276,0.186512,0.0036352000000000003,0.19014720000000002,1762436531.3221579,,81.50680112838745,0.02364864864864865,3.7349109597227203e-06,,1762436649.828959
baseline,gpt-4.1-mini,tw-cooking-3,11,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5625,23,60,40,107792,735,108527,0.08623360000000001,0.002352,0.08858560000000001,1762436651.0664434,,35.90708303451538,0.024456521739130436,5.1830420079795815e-06,,1762436709.9735265
baseline,gpt-4.1-mini,tw-cooking-3,12,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.2,18,60,40,61058,565,61623,0.048846400000000005,0.001808,0.0506544,1762436711.1254897,,16.197120666503906,0.011111111111111112,3.245541437450303e-06,,1762436745.3226104
baseline,gpt-4.1-mini,tw-cooking-3,13,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,49,60,40,360641,1400,362041,0.2885128,0.0044800000000000005,0.2929928,1762436746.589707,,126.19647216796875,0.02040816326530612,2.762118102645833e-06,,1762436921.786179
baseline,gpt-4.1-mini,tw-cooking-3,14,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.21428571428571427,16,58,39,48910,448,49358,0.039128,0.0014336000000000002,0.0405616,1762436922.9885237,,12.351627349853516,0.013392857142857142,4.341458614322182e-06,,1762436951.340151
baseline,gpt-4.1-mini,tw-cooking-3,15,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.8823529411764706,66,66,44,804812,1731,806543,0.6438496,0.0055392,0.6493888,1762436951.7095509,,544.3707678318024,0.013368983957219251,1.0939936756954937e-06,,1762437562.0803187
