step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Who's got a virtual machine and is about to play through an fast paced round of TextWorld? You do! First of all, go to the north. Once you get through with that, go to the west. Then, move west. With that done, try to travel south. Then, make an attempt to head west. If you can finish that, try to go north. Then, go to the west. After that, venture south. Once you do that, head south. After that, move south. And then, go to the south. Once you accomplish that, make an attempt to move east. With that done, make an attempt to head south. Following that, attempt to venture south. Then, make an effort to take a trip east. Then, attempt to venture south. And then, take a trip south. And then, move south. After that, take a trip east. With that accomplished, make an effort to go to the south. And then, attempt to venture west. And then, go to the north. Then, attempt to go east. Okay, and then, move north. That done, pick up the coin from the floor of the silent study. Alright, thanks!",,Laundromat,"You arrive in a laundromat. An ordinary one.



You need an unguarded exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
1,,I will start by going north as instructed.,go north,,"-= Spare Room =-
You've entered a spare room. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unblocked. You need an unguarded exit? You should try going south. You need an unblocked exit? You should try going west.",Spare Room,"You've entered a spare room. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unblocked. You need an unguarded exit? You should try going south. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
2,,"Next, I will go west as instructed.",go west,,"-= Pantry =-
You arrive in a pantry. An ordinary one. I guess you better just go and list everything you see here.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",Pantry,"You arrive in a pantry. An ordinary one. I guess you better just go and list everything you see here.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
3,,I will go west again as instructed.,go west,,"-= Garage =-
You make another one of your grand eccentric entrances into a garage.



There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unguarded.",Garage,"You make another one of your grand eccentric entrances into a garage.



There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
4,,I will go south as the next step.,go south,,"-= Bar =-
Guess what, you are in the place we're calling the bar.



There is an unblocked exit to the east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unblocked.",Bar,"Guess what, you are in the place we're calling the bar.



There is an unblocked exit to the east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
5,,I will try to go west next.,go west,,"-= Canteen =-
You're now in the canteen. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",Canteen,"You're now in the canteen. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
6,,I will go south as the next step.,go south,,"-= Spacious Cellar =-
Ah, the cellar. This is some kind of cellar, really great spacious vibes in this place, a wonderful spacious atmosphere. And now, well, you're in it.



You don't like doors? Why not try going north, that entranceway is unblocked.",Spacious Cellar,"Ah, the cellar. This is some kind of cellar, really great spacious vibes in this place, a wonderful spacious atmosphere. And now, well, you're in it.



You don't like doors? Why not try going north, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
7,,I will go south again as instructed.,go south,,You can't go that way.,Spacious Cellar,"Ah, the cellar. This is some kind of cellar, really great spacious vibes in this place, a wonderful spacious atmosphere. And now, well, you're in it.



You don't like doors? Why not try going north, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
8,,"Since I cannot go south, I will try going east as the next step.",go east,,You can't go that way.,Spacious Cellar,"Ah, the cellar. This is some kind of cellar, really great spacious vibes in this place, a wonderful spacious atmosphere. And now, well, you're in it.



You don't like doors? Why not try going north, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
9,,"Since I cannot go east, I will try going south again as the next step.",go south,,You can't go that way.,Spacious Cellar,"Ah, the cellar. This is some kind of cellar, really great spacious vibes in this place, a wonderful spacious atmosphere. And now, well, you're in it.



You don't like doors? Why not try going north, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
