step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Livingroom,"You've entered a livingroom.

You can make out a sofa. Make a note of this, you might have to put stuff on or in it later on. The sofa is comfy. Unfortunately, there isn't a thing on it.

There is a closed fiberglass door leading south. There is an exit to the east. There is an exit to the north.",You are carrying nothing.,0 of 17,0.0,False,
1,"1. [ ] Go to the kitchen to find the cookbook.
2. [ ] Check the cookbook for the recipe.
3. [ ] Gather ingredients and cook the meal.
4. [ ] Eat the meal.",I need to find the kitchen first to check the cookbook for the recipe. I will explore the exits to find the kitchen.,go north,,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. You see a closed oven. You make out a table. The table is massive. On the table you can make out a knife. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. You see a closed oven. You make out a table. The table is massive. On the table you can make out a knife. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",You are carrying nothing.,0 of 17,0.0,False,
2,"1. [ ] Examine the cookbook for the recipe.
2. [ ] Take the knife from the table.
3. [ ] Take ingredients needed for the recipe.
4. [ ] Cook the meal.
5. [ ] Eat the meal.",I should first examine the cookbook to find out the recipe for the meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
pork chop
  block of cheese
  red onion
  purple potato
  yellow bell pepper

Directions:
chop the pork chop
  fry the pork chop
  chop the block of cheese
  grill the block of cheese
  dice the red onion
  fry the red onion
  dice the purple potato
  roast the purple potato
  slice the yellow bell pepper
  grill the yellow bell pepper
  prepare meal",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. You see a closed oven. You make out a table. The table is massive. On the table you can make out a knife. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",You are carrying nothing.,0 of 17,0.0,False,
3,"1. [ ] Take the knife from the table.
2. [ ] Find and take the pork chop, block of cheese, red onion, purple potato, and yellow bell pepper.
3. [ ] Chop the pork chop.
4. [ ] Fry the pork chop.
5. [ ] Chop the block of cheese.
6. [ ] Grill the block of cheese.
7. [ ] Dice the red onion.
8. [ ] Fry the red onion.
9. [ ] Dice the purple potato.
10. [ ] Roast the purple potato.
11. [ ] Slice the yellow bell pepper.
12. [ ] Grill the yellow bell pepper.
13. [ ] Prepare the meal.
14. [ ] Eat the meal.",I should take the knife from the table first to use it for chopping and slicing.,take knife from table,,You take the knife from the table.,Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",You are carrying: a knife.,0 of 17,0.0,False,
4,"1. [ ] Search the fridge for pork chop, block of cheese, red onion, and yellow bell pepper.
2. [ ] Take the purple potato from the counter.
3. [ ] Chop the pork chop.
4. [ ] Fry the pork chop.
5. [ ] Chop the block of cheese.
6. [ ] Grill the block of cheese.
7. [ ] Dice the red onion.
8. [ ] Fry the red onion.
9. [ ] Dice the purple potato.
10. [ ] Roast the purple potato.
11. [ ] Slice the yellow bell pepper.
12. [ ] Grill the yellow bell pepper.
13. [ ] Prepare the meal.
14. [ ] Eat the meal.","I should open the fridge to look for the pork chop, block of cheese, red onion, and yellow bell pepper.",open fridge,,"You open the fridge, revealing a red onion, a block of cheese, an orange bell pepper, a red hot pepper and a white onion.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains a red onion, a block of cheese, an orange bell pepper, a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",You are carrying: a knife.,0 of 17,0.0,False,
5,"1. [ ] Take the red onion from the fridge.
2. [ ] Take the block of cheese from the fridge.
3. [ ] Take the orange bell pepper from the fridge (substitute for yellow bell pepper).
4. [ ] Search for the pork chop.
5. [ ] Take the purple potato from the counter.","I should take the red onion, block of cheese, and orange bell pepper from the fridge first, then look for the pork chop.",take red onion from fridge,,"You take the red onion from the fridge.



Your score has just gone up by one point.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains a block of cheese, an orange bell pepper, a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.",You are carrying: a red onion and a knife.,1 of 17,0.058823529411764705,False,
6,"1. [x] Take the red onion from the fridge.
2. [ ] Take the block of cheese from the fridge.
3. [ ] Take the orange bell pepper from the fridge.
4. [ ] Search for the pork chop.
5. [ ] Take the purple potato from the counter.",I should take the block of cheese from the fridge next.,take block of cheese from fridge,,"You take the block of cheese from the fridge.



Your score has just gone up by one point.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains an orange bell pepper, a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.","You are carrying: a block of cheese, a red onion and a knife.",2 of 17,0.11764705882352941,False,
7,"1. [x] Take the red onion from the fridge.
2. [x] Take the block of cheese from the fridge.
3. [ ] Take the orange bell pepper from the fridge.
4. [ ] Search for the pork chop.
5. [ ] Take the purple potato from the counter.",I should take the orange bell pepper from the fridge next.,take orange bell pepper from fridge,,You take the orange bell pepper from the fridge.,Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.","You are carrying: an orange bell pepper, a block of cheese, a red onion and a knife.",2 of 17,0.11764705882352941,False,
8,"1. [x] Take the red onion from the fridge.
2. [x] Take the block of cheese from the fridge.
3. [x] Take the orange bell pepper from the fridge.
4. [ ] Search for the pork chop.
5. [ ] Take the purple potato from the counter.","I need to find the pork chop next, likely in the fridge or elsewhere in the kitchen.",look fridge,,"The fridge looks noble. It is open.

In the fridge are a red hot pepper and a white onion.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.","You are carrying: an orange bell pepper, a block of cheese, a red onion and a knife.",2 of 17,0.11764705882352941,False,
9,"1. [x] Take the red onion from the fridge.
2. [x] Take the block of cheese from the fridge.
3. [x] Take the orange bell pepper from the fridge.
4. [ ] Search for the pork chop elsewhere in the kitchen.
5. [ ] Take the purple potato from the counter.","Since the pork chop is not in the fridge, I should look around the kitchen to find it.",look counter,,"The counter is unstable.

On the counter are a raw purple potato, a red apple, a banana, a raw red potato and a cookbook.",Kitchen,"Well, here we are in the kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge contains a red hot pepper and a white onion. You see a closed oven. You make out a table. The table is massive. However, the table, like an empty table, has nothing on it. You see a counter. You see a raw purple potato, a red apple, a banana, a raw red potato and a cookbook on the counter. Hmmm... what else, what else? You can see a stove. The stove is conventional. But the thing hasn't got anything on it.

There is a closed frosted-glass door leading west. You need an exit without a door? You should try going south.","You are carrying: an orange bell pepper, a block of cheese, a red onion and a knife.",2 of 17,0.11764705882352941,False,
