agent_name,model_name,eval_name,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,stop_time
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.8823529411764706,46,104048,1381,105429,0.0832384,0.004419200000000001,0.0876576,1761265318.45465,,99.22660040855408,0.01918158567774936,8.369167318066856e-06,,0,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761265417.6812503
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.5294117647058824,70,220624,2397,223021,0.1764992,0.0076704,0.1841696,1761265418.8080854,,168.9955267906189,0.007563025210084034,2.3738202443083045e-06,,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761265587.8036122
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.875,36,69947,1167,71114,0.055957599999999996,0.0037344000000000006,0.059691999999999995,1761265588.945508,,74.78151059150696,0.024305555555555556,1.2304187642377028e-05,,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761265663.7270186
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.375,59,172757,1962,174719,0.1382056,0.006278400000000001,0.144484,1761265664.9197593,,137.6121928691864,0.006355932203389831,2.1463034930373914e-06,,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761265802.5319521
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.8823529411764706,70,194410,2142,196552,0.155528,0.0068544,0.1623824,1761265803.6286366,,158.56199741363525,0.012605042016806723,4.489157786114975e-06,,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761265962.190634
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.3125,19,29776,573,30349,0.023820800000000003,0.0018336000000000003,0.025654400000000004,1761265963.320425,,36.888134241104126,0.01644736842105263,1.0296879633595836e-05,,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761266000.2085593
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.47058823529411764,20,29732,587,30319,0.023785600000000004,0.0018784,0.025664000000000003,1761266001.2894094,,38.77251052856445,0.023529411764705882,1.5521232075402145e-05,,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761266040.06192
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.8823529411764706,70,201472,2275,203747,0.16117760000000003,0.007280000000000001,0.16845760000000004,1761266041.148626,,162.4663052558899,0.012605042016806723,4.330630346343605e-06,,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761266203.6149313
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,0.75,70,221532,2206,223738,0.1772256,0.007059200000000001,0.1842848,1761266204.7880132,,161.55093431472778,0.010714285714285714,3.3521350865744756e-06,,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761266366.3389475
react-v0,gpt-4.1-mini,tw-curriculum-7-5,0,,,,,1.0,39,82203,1296,83499,0.0657624,0.0041472,0.0699096,1761266367.5387752,,84.68388772010803,0.02564102564102564,1.1976191331632714e-05,,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761266452.222663
