step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Pantry,"You make another one of your grand eccentric entrances into a pantry.

You can see a shelf. Now why would someone leave that there? The shelf is wooden. But there isn't a thing on it.

There is a closed frosted-glass door leading west.","You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",0 of 14,0.0,False,
1,,,inventory,,"You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",Pantry,"You make another one of your grand eccentric entrances into a pantry.

You can see a shelf. Now why would someone leave that there? The shelf is wooden. But there isn't a thing on it.

There is a closed frosted-glass door leading west.","You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",0 of 14,0.0,False,
2,,,open frosted-glass door,,You open frosted-glass door.,Pantry,"You make another one of your grand eccentric entrances into a pantry.

You can see a shelf. Now why would someone leave that there? The shelf is wooden. But there isn't a thing on it.

There is an open frosted-glass door leading west.","You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",0 of 14,0.0,False,
3,,,go west,,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.",Kitchen,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.","You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",0 of 14,0.0,False,
4,,,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
yellow potato
  red hot pepper
  white onion
  block of cheese
  purple potato

Directions:
slice the yellow potato
  fry the yellow potato
  chop the red hot pepper
  grill the red hot pepper
  slice the white onion
  roast the white onion
  slice the block of cheese
  grill the block of cheese
  chop the purple potato
  fry the purple potato
  prepare meal",Kitchen,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.","You are carrying: a red hot pepper, a white onion, a block of cheese, a raw pork chop, a red onion and an orange bell pepper.",0 of 14,0.0,False,
5,,,drop pork chop,,You drop the pork chop on the ground.,Kitchen,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.

There is a raw pork chop on the floor.","You are carrying: a red hot pepper, a white onion, a block of cheese, a red onion and an orange bell pepper.",0 of 14,0.0,False,
6,,,drop red onion,,You drop the red onion on the ground.,Kitchen,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.

There is a red onion and a raw pork chop on the floor.","You are carrying: a red hot pepper, a white onion, a block of cheese and an orange bell pepper.",0 of 14,0.0,False,
7,,,drop orange bell pepper,,You drop the orange bell pepper on the ground.,Kitchen,"You've just walked into a kitchen. You start to take note of what's in the room.

You make out a fridge. Now that's what I call TextWorld! You see an oven. You can see a table. You shudder, but continue examining the table. The table is massive. On the table you see a knife. You make out a counter. You see a raw purple potato, a red apple and a cookbook on the counter. You see a stove. But the thing is empty.

There is an open frosted-glass door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one.

There is an orange bell pepper, a red onion and a raw pork chop on the floor.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
8,,,go north,,"You arrive in a livingroom. An usual one. Okay, just remember what you're here to do, and everything will go great.

You make out a sofa. The sofa appears to be empty. Oh! Why couldn't there just be stuff on it?

You need an exit without a door? You should try going east. You need an exit without a door? You should try going south.",Livingroom,"You arrive in a livingroom. An usual one. Okay, just remember what you're here to do, and everything will go great.

You make out a sofa. The sofa appears to be empty. Oh! Why couldn't there just be stuff on it?

You need an exit without a door? You should try going east. You need an exit without a door? You should try going south.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
9,,,go east,,"You arrive in a bedroom. A standard kind of place.

As if things weren't amazing enough already, you can even see a bed. You wonder idly who left that here. The bed is large. But the thing is empty. Oh! Why couldn't there just be stuff on it?

You don't like doors? Why not try going east, that entranceway is not blocked by one. You need an exit without a door? You should try going west.",Bedroom,"You arrive in a bedroom. A standard kind of place.

As if things weren't amazing enough already, you can even see a bed. You wonder idly who left that here. The bed is large. But the thing is empty. Oh! Why couldn't there just be stuff on it?

You don't like doors? Why not try going east, that entranceway is not blocked by one. You need an exit without a door? You should try going west.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
10,,,go east,,"You find yourself in a corridor. A typical kind of place.



There is a closed sliding patio door leading north. There is an exit to the south. Don't worry, there is no door. There is an exit to the west. Don't worry, there is no door.",Corridor,"You find yourself in a corridor. A typical kind of place.



There is a closed sliding patio door leading north. There is an exit to the south. Don't worry, there is no door. There is an exit to the west. Don't worry, there is no door.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
11,,,open sliding patio door,,You open sliding patio door.,Corridor,"You find yourself in a corridor. A typical kind of place.



There is an open sliding patio door leading north. There is an exit to the south. Don't worry, there is no door. There is an exit to the west. Don't worry, there is no door.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
12,,,go north,,"You've entered a backyard. You begin to take stock of what's here.

You make out a patio chair. The patio chair appears to be empty. Aw, and here you were, all excited for there to be things on it! You make out a patio table. The patio table is stylish. But there isn't a thing on it. As if things weren't amazing enough already, you can even see a BBQ.

There is a closed wooden door leading north. There is an open sliding patio door leading south. There is an exit to the west.",Backyard,"You've entered a backyard. You begin to take stock of what's here.

You make out a patio chair. The patio chair appears to be empty. Aw, and here you were, all excited for there to be things on it! You make out a patio table. The patio table is stylish. But there isn't a thing on it. As if things weren't amazing enough already, you can even see a BBQ.

There is a closed wooden door leading north. There is an open sliding patio door leading south. There is an exit to the west.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
13,,,go west,,"You've entered a garden.



There is an exit to the east.

There is a raw yellow potato, a yellow bell pepper and a raw red potato on the floor.",Garden,"You've entered a garden.



There is an exit to the east.

There is a raw yellow potato, a yellow bell pepper and a raw red potato on the floor.","You are carrying: a red hot pepper, a white onion and a block of cheese.",0 of 14,0.0,False,
14,,,take yellow potato,,"You pick up the yellow potato from the ground.



Your score has just gone up by one point.",Garden,"You've entered a garden.



There is an exit to the east.

There is a yellow bell pepper and a raw red potato on the floor.","You are carrying: a raw yellow potato, a red hot pepper, a white onion and a block of cheese.",1 of 14,0.07142857142857142,False,
15,,,go east,,"You've entered a backyard. You begin to take stock of what's here.

You make out a patio chair. The patio chair appears to be empty. Aw, and here you were, all excited for there to be things on it! You make out a patio table. The patio table is stylish. But there isn't a thing on it. As if things weren't amazing enough already, you can even see a BBQ.

There is a closed wooden door leading north. There is an open sliding patio door leading south. There is an exit to the west.",Backyard,"You've entered a backyard. You begin to take stock of what's here.

You make out a patio chair. The patio chair appears to be empty. Aw, and here you were, all excited for there to be things on it! You make out a patio table. The patio table is stylish. But there isn't a thing on it. As if things weren't amazing enough already, you can even see a BBQ.

There is a closed wooden door leading north. There is an open sliding patio door leading south. There is an exit to the west.","You are carrying: a raw yellow potato, a red hot pepper, a white onion and a block of cheese.",1 of 14,0.07142857142857142,False,
