agent_name,model_name,eval_name,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,stop_time
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.26666666666666666,25,84373,1853,86226,0.0674984,0.0059296,0.073428,1761800368.5636694,,56.288657903671265,0.010666666666666666,3.0926480025359712e-06,,0,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761800424.8523273
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.7142857142857143,100,608991,7680,616671,0.4871928,0.024576,0.5117688,1761800426.0610468,,412.1537277698517,0.007142857142857143,1.158293018944809e-06,,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761800838.2147746
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.3333333333333333,25,69926,1426,71352,0.055940800000000006,0.0045632,0.060504,1761800839.4631357,,56.282286643981934,0.013333333333333332,4.671674701947154e-06,,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761800895.7454224
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.4666666666666667,100,548142,6311,554453,0.43851360000000006,0.0201952,0.4587088000000001,1761800896.959546,,384.04238295555115,0.004666666666666667,8.416703790342314e-07,,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761801281.001929
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.0,100,528877,5727,534604,0.4231016000000001,0.018326400000000003,0.4414280000000001,1761801282.2886224,,345.0284996032715,0.0,0.0,,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761801627.317122
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.0,100,489225,5603,494828,0.39138000000000006,0.0179296,0.40930960000000005,1761801628.5402536,,322.44595527648926,0.0,0.0,,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761801950.986209
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.875,100,551241,5893,557134,0.4409928,0.018857600000000002,0.4598504,1761801952.255077,,387.73836874961853,0.00875,1.5705377880366303e-06,,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761802339.9934456
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.375,19,52564,1509,54073,0.042051200000000004,0.0048288,0.046880000000000005,1761802341.2283993,,37.60654640197754,0.019736842105263157,6.935069258224992e-06,,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761802378.8349457
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,0.26666666666666666,13,33489,871,34360,0.0267912,0.0027872,0.0295784,1761802379.9999754,,23.73703408241272,0.020512820512820513,7.760962359332557e-06,,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761802403.7370095
react-v4,gpt-4.1-mini,tw-cooking-3,0,,,,,1.0,52,204091,3322,207413,0.1632728,0.0106304,0.1739032,1761802404.8767757,,139.78409004211426,0.019230769230769232,4.821298568556455e-06,,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761802544.6608658
