step_id,plan,summary,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,"Who's got a virtual machine and is about to play through an profound round of TextWorld? You do! Here is your task for today. First stop, open the antique trunk within the bedroom. Then, pick up the old key from the antique trunk within the bedroom. And then, check that the wooden door is unlocked with the old key. And then, open the wooden door within the bedroom. Then, attempt to venture east. After that, ensure that the screen door is open. After that, make an effort to go to the east. Okay, and then, make an effort to venture south. With that accomplished, retrieve the milk from the floor of the garden. With the milk, make an effort to travel north. That done, travel west. After that, place the milk on the stove in the kitchen. Once that's all handled, you can stop!",,Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see a closed ordinary looking antique trunk in the room. If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 10,0.0,False,
1,,I am in the bedroom.,I should open the antique trunk in the bedroom first.,open antique trunk,,"You open the antique trunk, revealing an old key.


Your score has just gone up by one point.",Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see an opened ordinary looking antique trunk in the room. The antique trunk contains an old key. If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is a closed wooden door leading east.",You are carrying nothing.,1 of 10,0.1,False,
2,,I opened the antique trunk; it contains an old key.,I should take the old key from the antique trunk.,take old key from antique trunk,,"You take the old key from the antique trunk.



Your score has just gone up by one point.",Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see an opened ordinary looking antique trunk in the room. Empty! What kind of nightmare TextWorld is this? If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is a closed wooden door leading east.",You are carrying: an old key.,2 of 10,0.2,False,
3,,I took the old key from the antique trunk; now I am carrying it.,I should check if the wooden door is unlocked with the old key.,examine wooden door,,The wooden door looks imposing. You can't see inside it because the lid's in your way.,Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see an opened ordinary looking antique trunk in the room. Empty! What kind of nightmare TextWorld is this? If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is a closed wooden door leading east.",You are carrying: an old key.,2 of 10,0.2,False,
4,,I examined the wooden door; it looks imposing and is closed.,I should try to unlock the wooden door with the old key.,unlock wooden door with old key,,"You unlock wooden door.


Your score has just gone up by one point.",Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see an opened ordinary looking antique trunk in the room. Empty! What kind of nightmare TextWorld is this? If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is a closed wooden door leading east.",You are carrying: an old key.,3 of 10,0.3,False,
5,,I unlocked the wooden door with the old key.,I should open the wooden door within the bedroom.,open wooden door,,"You open wooden door.


Your score has just gone up by one point.",Bedroom,"You arrive in a bedroom. An usual one.

You make out a closed chest drawer, which looks normal, right there by you. You see an opened ordinary looking antique trunk in the room. Empty! What kind of nightmare TextWorld is this? If you haven't noticed it already, there seems to be something there by the wall, it's a king-size bed. But oh no! there's nothing on this piece of trash.

There is an open wooden door leading east.",You are carrying: an old key.,4 of 10,0.4,False,
6,,I opened the wooden door within the bedroom.,I should go east through the open wooden door.,go east,,"You've entered a kitchen.

You see a closed refrigerator close by. You see a counter. The counter is typical. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? You see a stove. The stove is normal. But there isn't a thing on it. Hm. Oh well You see a kitchen island! The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unblocked.



Your score has just gone up by one point.",Kitchen,"You've entered a kitchen.

You see a closed refrigerator close by. You see a counter. The counter is typical. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? You see a stove. The stove is normal. But there isn't a thing on it. Hm. Oh well You see a kitchen island! The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying: an old key.,5 of 10,0.5,False,
7,,I went east through the wooden door and entered the kitchen.,I should open the screen door leading east in the kitchen.,open screen door,,"You open screen door.


Your score has just gone up by one point.",Kitchen,"You've entered a kitchen.

You see a closed refrigerator close by. You see a counter. The counter is typical. But there isn't a thing on it. Oh! Why couldn't there just be stuff on it? You see a stove. The stove is normal. But there isn't a thing on it. Hm. Oh well You see a kitchen island! The kitchen island is standard. On the kitchen island you can make out a note.

There is an open screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying: an old key.,6 of 10,0.6,False,
8,,I opened the screen door leading east in the kitchen.,I should go east through the open screen door.,go east,,"Look around you. Take it all in. It's not every day someone gets to be in a backyard.

You can see a set of chairs. But the thing is empty. You can see a bbq. The bbq is typical. Unfortunately, there isn't a thing on it. This always happens, here in TextWorld! You can make out a patio table. The patio table is normal. But oh no! there's nothing on this piece of junk. Sometimes, just sometimes, TextWorld can just be the worst.

There is an open screen door leading west. There is an unguarded exit to the south.



Your score has just gone up by one point.",Backyard,"Look around you. Take it all in. It's not every day someone gets to be in a backyard.

You can see a set of chairs. But the thing is empty. You can see a bbq. The bbq is typical. Unfortunately, there isn't a thing on it. This always happens, here in TextWorld! You can make out a patio table. The patio table is normal. But oh no! there's nothing on this piece of junk. Sometimes, just sometimes, TextWorld can just be the worst.

There is an open screen door leading west. There is an unguarded exit to the south.",You are carrying: an old key.,7 of 10,0.7,False,
9,,I went east through the screen door and entered the backyard.,I should go south through the unguarded exit in the backyard.,go south,,"You've just sauntered into a garden. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going north, that entranceway is unblocked.

There is a milk, a bell pepper, a tomato plant and a shovel on the floor.


Your score has just gone up by one point.",Garden,"You've just sauntered into a garden. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going north, that entranceway is unblocked.

There is a milk, a bell pepper, a tomato plant and a shovel on the floor.",You are carrying: an old key.,8 of 10,0.8,False,
