agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline-10,gpt-4.1-mini,tw-treasure-2,10,"Welcome to TextWorld! Here is your task for today. First stop, go south. And then, pick-up the berry from the floor of the dish-pit. And once you've done that, you win!",True,1.0,2,20,2,3275,45,3320,0.0026200000000000004,0.000144,0.0027640000000000004,1765329988.5931883,,0.8535895347595215,0.5,0.00030120481927710846,,1765329991.4467778
baseline-10,gpt-4.1-mini,tw-treasure-2,20,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First, it would be good if you could make sure that the door in the laundromat is wide open. After opening the door, venture north. If you can accomplish that, pick-up the key from the floor of the workshop. That's it!",True,1.0,3,20,3,4827,85,4912,0.0038615999999999998,0.00027200000000000005,0.004133599999999999,1765329992.8002357,,-0.8562438488006592,0.3333333333333333,0.00020358306188925082,,1765329994.943992
baseline-10,gpt-4.1-mini,tw-treasure-2,30,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, travel east. With that done, ensure that the gateway is open. After that, go to the east. And then, pick-up the fondue from the floor of the office. Got that? Good!",True,1.0,4,20,4,6765,85,6850,0.005412,0.00027200000000000005,0.005684,1765329996.1094065,,2.5947601795196533,0.25,0.00014598540145985403,,1765330002.7041667
baseline-10,gpt-4.1-mini,tw-treasure-2,40,"You are now playing a profound round of TextWorld! Here is your task for today. First stop, attempt to go to the east. Then, look and see that the gateway in the cellar is open. After that, venture south. And then, try to take a trip west. After that, retrieve the key from the floor of the bedchamber. That's it!",True,1.0,19,20,5,44455,500,44955,0.035564000000000005,0.0016,0.037164,1765330003.9065437,,28.958086729049683,0.05263157894736842,2.2244466688911134e-05,,1765330051.8646305
baseline-10,gpt-4.1-mini,tw-treasure-2,50,"Welcome to TextWorld! Here is your task for today. First off, if it's not too much trouble, I need you to make absolutely sure that the door is opened. Once you have opened the door, head east. And then, head east. With that over with, try to venture south. Okay, and then, make an effort to travel west. Then, retrieve the fly larva from the floor of the studio. Alright, thanks!",True,1.0,6,20,6,12251,118,12369,0.0098008,0.0003776,0.0101784,1765330053.25097,,2.9323816299438477,0.16666666666666666,8.08472794890452e-05,,1765330062.1833515
baseline-10,gpt-4.1-mini,tw-treasure-2,60,"It's time to explore the amazing world of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to go to the west. After that, make an effort to go to the north. And then, make an effort to take a trip west. If you can accomplish that, go north. After that, attempt to head north. After that, retrieve the legume from the plate within the cookhouse. And once you've done that, you win!",True,1.0,6,20,6,12763,130,12893,0.010210400000000001,0.000416,0.010626400000000001,1765330063.4638188,,4.481766223907471,0.16666666666666666,7.75614674629644e-05,,1765330073.945585
baseline-10,gpt-4.1-mini,tw-treasure-2,70,"It's time to explore the amazing world of TextWorld! Here is how to play! First of all, ensure that the gateway is open. Then, go west. And then, make it so that the hatch inside the vault is opened. After that, head west. And then, make an effort to go north. Then, go to the east. Then, recover the passkey from the floor of the garage. That's it!",True,1.0,7,20,7,14802,170,14972,0.0118416,0.0005440000000000001,0.0123856,1765330075.2873733,,2.6544597148895264,0.14285714285714285,6.67913438418381e-05,,1765330084.941833
baseline-10,gpt-4.1-mini,tw-treasure-2,80,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Here is your task for today. First stop, attempt to venture west. Following that, open the door. After that, attempt to move south. And then, ensure that the portal inside the bedroom is open. Then, take a trip south. Then, make an effort to go to the east. After that, attempt to go south. If you can accomplish that, recover the worm from the floor of the bedchamber. And once you've done that, you win!",True,1.0,8,20,8,16009,170,16179,0.0128072,0.0005440000000000001,0.013351199999999999,1765330086.407301,,6.300874948501587,0.125,6.180851721367204e-05,,1765330100.708176
baseline-10,gpt-4.1-mini,tw-treasure-2,90,"Welcome to TextWorld! Here is how to play! First thing I need you to do is to go west. With that done, try to take a trip south. Following that, try to travel south. With that done, make an effort to go west. Okay, and then, travel west. Then, take a trip north. After that, make an effort to go to the east. Okay, and then, make an effort to move north. Once you get around to doing that, recover the stick of butter from the suitcase. Once that's all handled, you can stop!",True,1.0,9,20,9,19763,187,19950,0.0158104,0.0005984,0.016408799999999998,1765330102.0321274,,4.299601316452026,0.1111111111111111,5.012531328320802e-05,,1765330115.3317287
baseline-10,gpt-4.1-mini,tw-treasure-2,100,"Welcome to TextWorld! Here is your task for today. First thing I need you to do is to venture north. And then, make an attempt to move east. Then, lift the broom from the floor of the washroom. Once that's all handled, you can stop!",True,1.0,3,20,3,5144,62,5206,0.0041152,0.00019840000000000002,0.0043136,1765330116.624639,,1.976266860961914,0.3333333333333333,0.0001920860545524395,,1765330121.600906
