step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Garden,"You find yourself in a garden. An ordinary one. You can barely contain your excitement.



There is an exit to the south.

There is an orange bell pepper, a carrot, a raw red potato, a yellow bell pepper and a red apple on the floor.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
1,,I should go south to enter the kitchen where the cookbook is likely to be.,go south,,"You are in a backyard. An usual kind of place.

You see a patio table. You wonder idly who left that here. The patio table appears to be empty. You make out a patio chair. But there isn't a thing on it. You can make out a BBQ.

There is a closed wooden door leading south. There is a closed screen door leading west. There is an exit to the north.",Backyard,"You are in a backyard. An usual kind of place.

You see a patio table. You wonder idly who left that here. The patio table appears to be empty. You make out a patio chair. But there isn't a thing on it. You can make out a BBQ.

There is a closed wooden door leading south. There is a closed screen door leading west. There is an exit to the north.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
2,,"I should go west through the screen door, as the kitchen is likely in that direction.",go west,,You have to open the screen door first.,Backyard,"You are in a backyard. An usual kind of place.

You see a patio table. You wonder idly who left that here. The patio table appears to be empty. You make out a patio chair. But there isn't a thing on it. You can make out a BBQ.

There is a closed wooden door leading south. There is a closed screen door leading west. There is an exit to the north.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
3,,I need to open the screen door before going west.,open screen door,,You open screen door.,Backyard,"You are in a backyard. An usual kind of place.

You see a patio table. You wonder idly who left that here. The patio table appears to be empty. You make out a patio chair. But there isn't a thing on it. You can make out a BBQ.

There is a closed wooden door leading south. There is an open screen door leading west. There is an exit to the north.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
4,,"Now that the screen door is open, I should go west through it to reach the kitchen.",go west,,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.",Corridor,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
5,,I should go north in the corridor to find the kitchen where the cookbook might be.,go north,,"You find yourself in a bathroom. A normal one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.

You can make out a toilet. The toilet is white. Looks like someone's already been here and taken everything off it, though.

You don't like doors? Why not try going south, that entranceway is not blocked by one.",Bathroom,"You find yourself in a bathroom. A normal one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.

You can make out a toilet. The toilet is white. Looks like someone's already been here and taken everything off it, though.

You don't like doors? Why not try going south, that entranceway is not blocked by one.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
6,,"The bathroom is not the kitchen, so I should go back south to the corridor and try another direction.",go south,,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.",Corridor,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
7,,I should try going west in the corridor to find the kitchen.,go west,,"You are in a bedroom.

You make out a bed. But there isn't a thing on it.

You don't like doors? Why not try going east, that entranceway is not blocked by one. There is an exit to the north.",Bedroom,"You are in a bedroom.

You make out a bed. But there isn't a thing on it.

You don't like doors? Why not try going east, that entranceway is not blocked by one. There is an exit to the north.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
8,,"The bedroom is not the kitchen, so I should go north to explore further.",go north,,"You find yourself in a livingroom. A typical kind of place.

You see a sofa. But the thing is empty.

There is a closed front door leading west. You need an exit without a door? You should try going south.",Livingroom,"You find yourself in a livingroom. A typical kind of place.

You see a sofa. But the thing is empty.

There is a closed front door leading west. You need an exit without a door? You should try going south.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
9,,I should go south to return to the bedroom and try another path to find the kitchen.,go south,,"You are in a bedroom.

You make out a bed. But there isn't a thing on it.

You don't like doors? Why not try going east, that entranceway is not blocked by one. There is an exit to the north.",Bedroom,"You are in a bedroom.

You make out a bed. But there isn't a thing on it.

You don't like doors? Why not try going east, that entranceway is not blocked by one. There is an exit to the north.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
10,,I should go east from the bedroom to explore a new area that might lead to the kitchen.,go east,,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.",Corridor,"You arrive in a corridor. A typical kind of place. You can barely contain your excitement.



There is an open screen door leading east. You don't like doors? Why not try going north, that entranceway is not blocked by one. There is an exit to the south. There is an exit to the west. Don't worry, there is no door.","You are carrying: a banana, a red onion, a red hot pepper and a white onion.",0 of 17,0.0,False,
