agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
v99-oracle,oracle,tw-coin-2,1,You are now playing a profound round of TextWorld! Your task for today is to lift the coin from the floor of the studio.,True,1.0,1,20,1,0,0,0,0.0,0.0,0.0,1762619234.2000642,,0.007786273956298828,1.0,0.0,,1762619234.2078505
v99-oracle,oracle,tw-coin-2,2,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, make an attempt to go north. With that done, pick up the coin from the floor of the cookery. That's it!",True,1.0,2,20,2,0,0,0,0.0,0.0,0.0,1762619234.3412166,,0.012871265411376953,0.5,0.0,,1762619234.3540878
v99-oracle,oracle,tw-coin-2,3,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head east. And then, go north. If you can manage that, pick up the coin from the floor of the spare room. And once you've done that, you win!",True,1.0,3,20,3,0,0,0,0.0,0.0,0.0,1762619234.4999762,,0.017651796340942383,0.3333333333333333,0.0,,1762619234.517628
v99-oracle,oracle,tw-coin-2,4,"It's time to explore the amazing world of TextWorld! First off, try to head east. And then, head east. With that done, attempt to head south. With that accomplished, recover the coin from the floor of the bedroom. And if you do that, you're the winner!",True,1.0,4,20,4,0,0,0,0.0,0.0,0.0,1762619234.6437035,,0.017412185668945312,0.25,0.0,,1762619234.6611156
v99-oracle,oracle,tw-coin-2,5,"Who's got a virtual machine and is about to play through an exciting round of TextWorld? You do! Here is how to play! First of all, make an attempt to take a trip west. If you can get through with that, try to take a trip west. Then, go south. Then, head west. With that accomplished, pick-up the coin from the floor of the closet. Got that? Good!",True,1.0,5,20,5,0,0,0,0.0,0.0,0.0,1762619234.7868216,,0.0326235294342041,0.2,0.0,,1762619234.8194451
v99-oracle,oracle,tw-coin-2,6,"Welcome to another fast paced round of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to make an attempt to move east. And then, try to take a trip south. After that, make an attempt to head south. Next, make an attempt to move west. After that, venture south. Next, pick up the coin from the floor of the shower. And if you do that, you're the winner!",True,1.0,6,20,6,0,0,0,0.0,0.0,0.0,1762619234.988246,,0.03269529342651367,0.16666666666666666,0.0,,1762619235.0209413
v99-oracle,oracle,tw-coin-2,7,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head west. After that, make an effort to move north. If you can get around to doing that, make an effort to take a trip east. And then, go east. And then, move north. With that accomplished, try to move east. Then, recover the coin from the floor of the spare room. Once that's all handled, you can stop!",True,1.0,7,20,7,0,0,0,0.0,0.0,0.0,1762619235.1304924,,0.03139019012451172,0.14285714285714285,0.0,,1762619235.1618826
v99-oracle,oracle,tw-coin-2,8,"You are now playing a fast paced round of TextWorld! First off, if it's not too much trouble, I need you to make an attempt to go to the west. If you can finish that, attempt to go north. With that done, make an effort to travel east. After that, make an effort to head south. And then, attempt to venture east. After that, go to the east. And then, make an effort to go to the north. Okay, and then, recover the coin from the floor of the chamber. And if you do that, you're the winner!",True,1.0,8,20,8,0,0,0,0.0,0.0,0.0,1762619235.2440526,,0.03569221496582031,0.125,0.0,,1762619235.2797449
v99-oracle,oracle,tw-coin-2,9,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First of all, move east. Next, head north. With that done, try to move west. Next, make an attempt to go south. And then, go west. And then, take a trip north. Then, travel west. Next, attempt to take a trip south. And then, pick-up the coin from the floor of the studio. Once that's all handled, you can stop!",True,1.0,9,20,9,0,0,0,0.0,0.0,0.0,1762619235.4360678,,0.05551576614379883,0.1111111111111111,0.0,,1762619235.4915836
v99-oracle,oracle,tw-coin-2,10,"Who's got a virtual machine and is about to play through an fast paced round of TextWorld? You do! Here is your task for today. First of all, attempt to go south. Okay, and then, make an effort to go to the east. And then, try to venture north. Then, venture north. Okay, and then, move east. With that done, move north. And then, try to travel east. After that, move south. Next, make an effort to take a trip south. And then, pick up the coin from the floor of the chamber. Alright, thanks!",True,1.0,10,20,10,0,0,0,0.0,0.0,0.0,1762619235.6737683,,0.04762554168701172,0.1,0.0,,1762619235.7213938
v99-oracle,oracle,tw-coin-2,11,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, you could, like, try to go to the south. Then, try to go to the south. Next, make an effort to move east. Then, head south. Once you accomplish that, make an effort to move south. And then, attempt to venture east. And then, go to the east. After that, travel north. After that, make an effort to venture east. With that over with, attempt to go north. Then, pick up the coin from the floor of the canteen. Alright, thanks!",True,1.0,11,20,11,0,0,0,0.0,0.0,0.0,1762619235.8680933,,0.06017422676086426,0.09090909090909091,0.0,,1762619235.9282675
