agent_name,model_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
react-v0,gpt-4.1-mini,gaia-100,100,39.0,61,6,0.39,39.0,795,5190480,103087,5293567,4.152384000000001,0.3298784,4.482262399999999,4188.830374240875,0.39,0.0490566037735849,7.367432961555035e-06
react-v0,gpt-4.1-mini,gpqa-diamond-100,100,54.0,46,13,0.54,54.0,208,335227,38394,373621,0.2681816,0.1228608,0.3910424,700.4202661514282,0.54,0.2596153846153846,0.0001445314904676
react-v0,gpt-4.1-mini,hle-100,100,6.0,94,14,0.06,6.0,330,1205546,64652,1270198,0.9644368,0.2068864,1.1713232000000002,1382.9648878574371,0.06,0.0181818181818181,4.7236730021618674e-06
react-v0,gpt-4.1-mini,mmlu-pro-100,100,77.0,23,5,0.77,77.0,165,151076,19175,170251,0.1208608,0.06136,0.1822208,306.6449820995331,0.77,0.4666666666666667,0.0004522734080857
react-v0,gpt-4.1-mini,simple-qa-100,100,78.0,22,0,0.78,78.0,458,1957504,33364,1990868,1.5660032000000002,0.1067648,1.672768,1674.7520248889923,0.78,0.1703056768558952,3.9178890815463404e-05
react-v1,gpt-4.1-mini,gaia-10,10,4.0,6,0,0.4,4.0,59,157901,6602,164503,0.1263208,0.0211263999999999,0.1474472,160.7257423400879,0.4,0.0677966101694915,2.431566597569649e-05
react-v1,gpt-4.1-mini,gaia-100,100,38.0,62,4,0.38,38.0,783,4640299,82020,4722319,3.7122392,0.262464,3.9747032,3501.594737529754,0.38,0.0485312899106002,8.046893909538936e-06
react-v1,gpt-4.1-mini,gpqa-diamond-10,10,5.0,5,1,0.5,5.0,14,12431,2498,14929,0.0099448,0.0079936,0.0179384,42.92471766471863,0.5,0.3571428571428571,0.0003349186147766
react-v1,gpt-4.1-mini,gpqa-diamond-100,100,58.0,42,5,0.58,58.0,186,220938,41003,261941,0.1767504,0.1312095999999999,0.30796,1212.2388818264008,0.58,0.3118279569892473,0.0002214239084373
react-v1,gpt-4.1-mini,hle-10,10,0.0,10,2,0.0,0.0,20,21703,3569,25272,0.0173624,0.0114208,0.0287832,66.123783826828,0.0,0.0,0.0
react-v1,gpt-4.1-mini,hle-100,100,9.0,91,11,0.09,9.0,265,532230,71843,604073,0.425784,0.2298976,0.6556816,1299.850777387619,0.09,0.0339622641509433,1.48988615614338e-05
react-v1,gpt-4.1-mini,mmlu-pro-10,10,7.0,3,1,0.7,7.0,16,12897,1702,14599,0.0103176,0.0054464,0.015764,38.35918045043945,0.7,0.4375,0.0004794848962257
react-v1,gpt-4.1-mini,mmlu-pro-100,100,76.0,24,3,0.76,76.0,158,144025,19682,163707,0.11522,0.0629824,0.1782024,335.3005208969116,0.76,0.4810126582278481,0.0004642440457646
react-v1,gpt-4.1-mini,simple-qa-10,10,9.0,1,0,0.9,9.0,51,310902,3819,314721,0.2487216,0.0122208,0.2609424,719.1088848114014,0.9,0.1764705882352941,2.8596757127741712e-05
react-v1,gpt-4.1-mini,simple-qa-100,100,76.0,24,7,0.76,76.0,445,1722136,32984,1755120,1.3777087999999995,0.1055488,1.4832576000000004,1628.900233745575,0.76,0.1707865168539326,4.330188249236519e-05
react-v2,gpt-4.1-mini,gaia-10,10,3.0,7,0,0.3,3.0,52,245941,24221,270162,0.1967528,0.0775072,0.27426,309.8478457927704,0.3,0.0576923076923076,1.1104448442045885e-05
react-v2,gpt-4.1-mini,gaia-100,100,38.0,62,5,0.38,38.0,766,4616044,83568,4699612,3.6928352,0.2674175999999999,3.9602528,5126.674015283585,0.38,0.0496083550913838,8.085773889418956e-06
react-v2,gpt-4.1-mini,gpqa-diamond-10,10,5.0,5,2,0.5,5.0,12,9582,2314,11896,0.0076656,0.0074048,0.0150704,25.37117385864257,0.5,0.4166666666666667,0.0004203093476798
react-v2,gpt-4.1-mini,gpqa-diamond-100,100,61.0,39,5,0.61,61.0,193,227565,43666,271231,0.182052,0.1397312,0.3217832,696.1975820064545,0.61,0.3160621761658031,0.000224900546029
react-v2,gpt-4.1-mini,hle-10,10,0.0,10,1,0.0,0.0,23,30669,4223,34892,0.0245352,0.0135135999999999,0.0380488,76.84012937545776,0.0,0.0,0.0
react-v2,gpt-4.1-mini,hle-100,100,5.0,95,10,0.05,5.0,239,628056,59600,687656,0.5024448,0.19072,0.6931648000000001,2443.0968215465546,0.05,0.0209205020920502,7.271077399164698e-06
react-v2,gpt-4.1-mini,mmlu-pro-10,10,8.0,2,1,0.8,8.0,14,11054,2317,13371,0.0088431999999999,0.0074144,0.0162576,30.31521439552307,0.8,0.5714285714285714,0.0005983097748859
react-v2,gpt-4.1-mini,mmlu-pro-100,100,73.0,27,2,0.73,73.0,174,216294,21669,237963,0.1730352,0.0693408,0.2423759999999999,467.1611337661743,0.73,0.4195402298850574,0.0003067703802692
react-v2,gpt-4.1-mini,simple-qa-10,10,9.0,1,0,0.9,9.0,55,144050,4045,148095,0.11524,0.012944,0.128184,787.5294346809387,0.9,0.1636363636363636,6.0771801883925856e-05
react-v2,gpt-4.1-mini,simple-qa-100,100,81.0,19,1,0.81,81.0,456,1431858,33357,1465215,1.1454864,0.1067424,1.2522288,1872.844577074051,0.81,0.1776315789473684,5.528198933262354e-05
