step_id,plan,summary,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First of all, take a trip south. That done, make an attempt to move west. With that done, try to take a trip west. Okay, and then, make an attempt to take a trip north. Then, try to move east. Next, make an effort to go to the east. Once you get through with that, try to go to the east. After that, attempt to go north. And then, make an attempt to go east. Okay, and then, make an attempt to go south. And then, move west. After that, attempt to head north. And then, try to move north. Once you accomplish that, take a trip west. With that done, venture west. With that done, make an attempt to go west. And then, travel south. That done, go east. After that, make an attempt to go to the east. And then, head north. Next, take a trip north. Then, attempt to go north. Then, make an effort to go west. With that accomplished, move south. Then, take a trip east. Then, travel east. And then, make an attempt to go to the south. After that, go east. That done, take a trip south. With that done, make an effort to move east. After that, go north. Okay, and then, make an attempt to go to the west. Then, make an attempt to head west. And then, make an attempt to take a trip south. After that, head south. After that, pick up the coin from the floor of the vault. Once that's all handled, you can stop!",,Closet,"You find yourself in a closet. A typical kind of place.



There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
1,,I am in the closet.,I should go south as instructed.,go south,,"You're now in a chamber.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unguarded.",Chamber,"You're now in a chamber.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
2,,I went south from the closet and arrived in the chamber.,I should try to move west as the exit is unguarded.,go west,,"You are in a bedchamber. A standard kind of place.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",Bedchamber,"You are in a bedchamber. A standard kind of place.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
3,,I went south from the chamber and arrived in the bedchamber.,I should try to move west from the bedchamber as suggested.,go west,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
4,,"I went south twice from the closet and chamber, arriving in the bedchamber, then moved to the lounge.",I should try to move west from the lounge as the next step in the instructions.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
5,,I went south twice and then south again to enter the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
6,,"I went south twice and then south again to enter the recreation zone, then moved to the lounge.",I should try to move west from the lounge as the next step.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
7,,I went south twice and then south again to enter the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
8,,I went south multiple times and arrived in the lounge.,I should now attempt to move west from the lounge as per the instructions.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
9,,I went south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
10,,I went south multiple times and arrived in the lounge.,I should go west from the lounge as the next step in the instructions.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
11,,I went south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
12,,I went south multiple times and arrived in the lounge.,I should try to move west from the lounge as the exit is unguarded.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
13,,I went south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
14,,I moved south multiple times and arrived in the lounge.,I should try to move west from the lounge as the exit is unguarded.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
15,,I moved south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
16,,I moved south multiple times and arrived in the lounge.,I should try to move west from the lounge as the next step in the instructions.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
17,,I moved south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
18,,I moved south multiple times and arrived in the lounge.,I should go east from the lounge as there is an unguarded exit to the east.,go east,,"You are in a bedchamber. A standard kind of place.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",Bedchamber,"You are in a bedchamber. A standard kind of place.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
19,,I moved south multiple times and arrived in the bedchamber.,I should try to move west from the bedchamber as suggested.,go west,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
20,,I moved south multiple times and arrived in the lounge.,I should go west from the lounge as the next step in the sequence is to move west.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
21,,I moved south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
22,,I moved south multiple times and arrived in the lounge.,I should go west from the lounge as the next step in the instructions is to attempt to move west.,go west,,"You've entered a recreation zone.



There is an unguarded exit to the east.",Recreation Zone,"You've entered a recreation zone.



There is an unguarded exit to the east.",You are carrying nothing.,0 of 1,0.0,False,
23,,I moved south multiple times and arrived in the recreation zone.,I should go east from the recreation zone as there is an unguarded exit to the east.,go east,,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",Lounge,"I am so happy to announce that you are now in the lounge.



There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
