step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. You make out an antique trunk. You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
1,"- Current location is the bedroom.
- There is a chest drawer and an antique trunk in the bedroom.
- There is a closed wooden door leading east.
- The king-size bed is empty.",I should examine the chest drawer to see if there is anything useful inside.,examine chest drawer,,"The chest drawer looks strong, and impossible to break. You can't see inside it because the lid's in your way.",Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. You make out an antique trunk. You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
2,"- The chest drawer is strong and impossible to break.
- The lid of the chest drawer is in the way, preventing seeing inside.
- There is an antique trunk in the bedroom.
- The king-size bed is empty.
- There is a closed wooden door leading east.","Since the chest drawer lid is blocking access and cannot be broken, I should try to open the chest drawer.",open chest drawer,,You open the chest drawer.,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
3,"- The chest drawer is now open and empty.
- There is an antique trunk in the bedroom.
- The king-size bed is empty.
- There is a closed wooden door leading east.",I should examine the antique trunk to see if it contains anything useful.,examine antique trunk,,"The antique trunk looks strong, and impossible to break. It is closed.",Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
4,"- The antique trunk is strong, closed, and impossible to break.
- The chest drawer is open and empty.
- The king-size bed is empty.
- There is a closed wooden door leading east.",I should try to open the antique trunk to see if there is anything inside.,open antique trunk,,"You open the antique trunk, revealing an old key.",Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. The antique trunk contains an old key. You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
5,"- The antique trunk is open and contains an old key.
- The chest drawer is open and empty.
- The king-size bed is empty.
- There is a closed wooden door leading east.",I should take the old key from the antique trunk.,take old key from antique trunk,,You take the old key from the antique trunk.,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. The antique trunk is empty, what a horrible day! You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
6,"- I am carrying an old key taken from the antique trunk.
- The antique trunk is now empty.
- The chest drawer is open and empty.
- The king-size bed is empty.
- There is a closed wooden door leading east.",I should try to unlock the closed wooden door to the east using the old key.,unlock door with old key,,You unlock wooden door.,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. The antique trunk is empty, what a horrible day! You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
7,"- The wooden door to the east is now unlocked.
- I am carrying an old key.
- The antique trunk and chest drawer are empty.
- The king-size bed is empty.",I should go east through the now unlocked wooden door.,go east,,You have to open the wooden door first.,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. The antique trunk is empty, what a horrible day! You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
8,"- The wooden door to the east is unlocked but still closed.
- I am carrying an old key.
- The antique trunk and chest drawer are empty.
- The king-size bed is empty.",I need to open the unlocked wooden door before going east.,open wooden door,,You open wooden door.,Bedroom,"You are in a bedroom. A typical one.

Look over there! a chest drawer. What a letdown! The chest drawer is empty! You make out an antique trunk. The antique trunk is empty, what a horrible day! You can see a king-size bed. The king-size bed is normal. But the thing is empty. Silly king-size bed, silly, empty, good for nothing king-size bed.

There is an open wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
9,"- The wooden door to the east is now open.
- I am carrying an old key.
- The antique trunk and chest drawer are empty.
- The king-size bed is empty.",I should go east through the open wooden door.,go east,,"You've entered a kitchen.

You make out a closed refrigerator nearby. Look out! It's a- oh, never mind, it's just a counter. The counter is standard. However, the counter, like an empty counter, has nothing on it. It would have been so cool if there was stuff on the counter! oh well. You see a gleam over in a corner, where you can see a stove. The stove is standard. However, the stove, like an empty stove, has nothing on it. Aw, here you were, all excited for there to be things on it! You can make out a kitchen island. The kitchen island is normal. On the kitchen island you see a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unblocked. You need an unguarded exit? You should try going south.",Kitchen,"You've entered a kitchen.

You make out a closed refrigerator nearby. Look out! It's a- oh, never mind, it's just a counter. The counter is standard. However, the counter, like an empty counter, has nothing on it. It would have been so cool if there was stuff on the counter! oh well. You see a gleam over in a corner, where you can see a stove. The stove is standard. However, the stove, like an empty stove, has nothing on it. Aw, here you were, all excited for there to be things on it! You can make out a kitchen island. The kitchen island is normal. On the kitchen island you see a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unblocked. You need an unguarded exit? You should try going south.",You are carrying: an old key.,0 of 1,0.0,False,
