agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
memory-v2,gpt-4.1-mini,tw-simple-1,10,"Welcome to another fast paced episode of TextWorld! First, it would be good if you could ensure that the chest drawer is open. After that, retrieve the old key from the chest drawer. Having taken the old key, look and see that the wooden door is unlocked with the old key. After that, doublecheck that the wooden door is opened. After that, make an effort to take a trip east. Once you get through with that, ensure that the refrigerator inside the kitchen is open. And then, recover the lettuce from the refrigerator. Then, place the lettuce on the stove inside the kitchen. Alright, thanks!",True,1.0,9,20,8,23377,533,23910,0.0187016,0.0017056000000000003,0.0204072,1763915366.8700552,,46.01741433143616,0.1111111111111111,4.1823504809703055e-05,,1763915421.8874695
memory-v2,gpt-4.1-mini,tw-simple-1,20,"Welcome to another life changing round of TextWorld! First step, make it so that the chest drawer inside the bedroom is opened. Then, recover the old key from the chest drawer in the bedroom. Having picked up the old key, make it so that the wooden door inside the bedroom is unlocked. If you have unlocked the wooden door, make it so that the wooden door inside the bedroom is open. After that, travel east. And then, ensure that the screen door in the kitchen is open. And then, venture east. And then, travel south. After that, pick-up the lettuce from the floor of the garden. And then, make an attempt to take a trip north. After that, head west. If you can accomplish that, rest the lettuce on the stove. Once that's all handled, you can stop!",True,1.0,12,20,12,32946,642,33588,0.026356800000000003,0.0020544,0.028411200000000005,1763915423.053914,,46.01469612121582,0.08333333333333333,2.977253781112302e-05,,1763915481.0686102
memory-v2,gpt-4.1-mini,tw-simple-1,30,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, ensure that the chest drawer in the bedroom is open. And then, retrieve the old key from the chest drawer within the bedroom. And then, make it so that the wooden door inside the bedroom is unlocked. Then, open the wooden door. After that, take a trip east. Then, look and see that the screen door is ajar. Then, head east. After that, travel south. And then, pick up the apple from the floor of the garden. Then, go to the north. After that, make an effort to head west. And then, sit the apple on the stove inside the kitchen. And once you've done that, you win!",True,1.0,14,20,12,40982,831,41813,0.0327856,0.0026592000000000005,0.0354448,1763915482.2877524,,41.3557825088501,0.07142857142857142,2.391600698347404e-05,,1763915537.643535
memory-v2,gpt-4.1-mini,tw-simple-1,40,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,False,0.875,20,20,9,59353,2080,61433,0.04748240000000001,0.006656,0.05413840000000001,1763915538.8431115,,54.07134747505188,0.04375,1.4243159214103169e-05,,1763915612.914459
memory-v2,gpt-4.1-mini,tw-simple-1,50,The dinner is almost ready! It's only missing a grilled apple.,False,0.75,20,20,12,57678,1970,59648,0.0461424,0.006304000000000001,0.052446400000000004,1763915614.103467,,65.395592212677,0.0375,1.25737660944206e-05,,1763915699.4990592
memory-v2,gpt-4.1-mini,tw-simple-1,60,The dinner is almost ready! It's only missing a grilled bell pepper.,False,0.0,20,20,8,60281,2054,62335,0.048224800000000005,0.0065728,0.0547976,1763915700.702472,,68.54623484611511,0.0,0.0,,1763915789.2487068
memory-v2,gpt-4.1-mini,tw-simple-1,70,,False,0.9,20,20,12,59581,2091,61672,0.04766480000000001,0.0066912000000000004,0.05435600000000001,1763915790.4821968,,68.47619342803955,0.045,1.4593332468543262e-05,,1763915878.9583902
memory-v2,gpt-4.1-mini,tw-simple-1,80,,False,0.25,20,20,12,60357,1877,62234,0.048285600000000005,0.0060064,0.05429200000000001,1763915880.186381,,57.443023681640625,0.0125,4.017096763826847e-06,,1763915957.6294048
memory-v2,gpt-4.1-mini,tw-simple-1,90,,False,0.0,20,20,9,54130,1723,55853,0.043304,0.0055136000000000004,0.0488176,1763915958.8967915,,63.43556761741638,0.0,0.0,,1763916042.332359
memory-v2,gpt-4.1-mini,tw-simple-1,100,,False,0.0,20,20,9,62267,1852,64119,0.049813600000000006,0.0059264,0.055740000000000005,1763916043.5902724,,89.22067666053772,0.0,0.0,,1763916152.810949
