step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Welcome to TextWorld! Here is how to play! First of all, you could, like, make an attempt to move west. Then, try to travel south. With that over with, make an effort to go south. And then, make an effort to venture east. And then, go to the east. Okay, and then, move south. Following that, retrieve the latchkey from the stand. And once you've done that, you win!",,Kitchenette,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
1,,I should try going west as suggested.,go west,,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",Shower,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
2,,I should go south.,go south,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
3,,I should go east.,go east,,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
4,,I should examine the case to see what's gleaming in the corner.,examine case,,"The case looks strong, and impossible to destroy. You can't see inside it because the lid's in your way.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
5,,I should try opening the case to see what's inside.,open case,,The case is welded shut.,Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
6,,I'll try going north to continue exploring for something to open the case.,go north,,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",Kitchenette,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
7,,I'll follow the hint and go west.,go west,,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",Shower,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
8,,I'll go south to the recreation zone to continue exploring.,go south,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,,I should go east to follow the hint and continue exploring.,go east,,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
10,,I'll go east from the office to look for the stand with the latchkey.,go east,,"Look at you, bigshot, walking into a lounge like it isn't some huge deal. I guess you better just go and list everything you see here.

You make out a bar. But oh no! there's nothing on this piece of junk.

There is an open gate leading south. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Lounge,"Look at you, bigshot, walking into a lounge like it isn't some huge deal. I guess you better just go and list everything you see here.

You make out a bar. But oh no! there's nothing on this piece of junk.

There is an open gate leading south. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
11,,I'll go north from the lounge to search for the stand with the latchkey.,go north,,"You've entered a playroom.



There is an exit to the south. Don't worry, it is unblocked.",Playroom,"You've entered a playroom.



There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
12,,I'll go south from the playroom to continue searching for the stand with the latchkey.,go south,,"Look at you, bigshot, walking into a lounge like it isn't some huge deal. I guess you better just go and list everything you see here.

You make out a bar. But oh no! there's nothing on this piece of junk.

There is an open gate leading south. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Lounge,"Look at you, bigshot, walking into a lounge like it isn't some huge deal. I guess you better just go and list everything you see here.

You make out a bar. But oh no! there's nothing on this piece of junk.

There is an open gate leading south. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
13,,I'll go south through the open gate to see if the stand with the latchkey is there.,go south,,"This is going to sound unbelievable, but you've just entered a parlor. You try to gain information on your surroundings by using a technique you call ""looking.""

You can see a portmanteau.

There is an open gate leading north. There is an unguarded exit to the south. There is an unguarded exit to the west.",Parlor,"This is going to sound unbelievable, but you've just entered a parlor. You try to gain information on your surroundings by using a technique you call ""looking.""

You can see a portmanteau.

There is an open gate leading north. There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
14,,I should examine the portmanteau to see what's inside.,examine portmanteau,,"The portmanteau looks strong, and impossible to destroy. It is closed.",Parlor,"This is going to sound unbelievable, but you've just entered a parlor. You try to gain information on your surroundings by using a technique you call ""looking.""

You can see a portmanteau.

There is an open gate leading north. There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
15,,I'll go west from the parlor to continue searching for the stand with the latchkey.,go west,,"You've just walked into a spare room.

You can see a suitcase. The suitcase is empty, what a horrible day!

You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unblocked. There is an unguarded exit to the west.",Spare Room,"You've just walked into a spare room.

You can see a suitcase. The suitcase is empty, what a horrible day!

You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unblocked. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
16,,I'll go west to continue exploring from the spare room.,go west,,"You are in a scullery. A standard kind of place. You begin to take stock of what's here.

You can see a locked fridge. What's that over there? It looks like it's a cabinet. You make out a plate. But oh no! there's nothing on this piece of garbage.

There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unblocked.",Scullery,"You are in a scullery. A standard kind of place. You begin to take stock of what's here.

You can see a locked fridge. What's that over there? It looks like it's a cabinet. You make out a plate. But oh no! there's nothing on this piece of garbage.

There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
17,,I'll examine the cabinet to see if it contains anything useful like a key.,examine cabinet,,"The cabinet looks strong, and impossible to break. You can't see inside it because the lid's in your way.",Scullery,"You are in a scullery. A standard kind of place. You begin to take stock of what's here.

You can see a locked fridge. What's that over there? It looks like it's a cabinet. You make out a plate. But oh no! there's nothing on this piece of garbage.

There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
18,,I'll go north to continue exploring for the stand with the latchkey.,go north,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
19,,I'll go north.,go north,,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",Shower,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
20,,I'll go east from the shower to continue exploring.,go east,,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",Kitchenette,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,True,
