agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
actor-only,gpt-5.2,tw-treasure-1,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,True,1.0,2,20,1,3134,13,3147,0.0054845,0.00018199999999999998,0.0056665,1767204318.9414434,,21.348474502563477,0.5,0.00031776294884016526,,1767204342.289918
actor-only,gpt-5.2,tw-treasure-1,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",True,1.0,2,20,1,3167,12,3179,0.00554225,0.00016800000000000002,0.00571025,1767204343.4087527,,0.6447784900665283,0.5,0.00031456432840515884,,1767204346.0535312
actor-only,gpt-5.2,tw-treasure-1,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",True,1.0,3,20,2,5037,17,5054,0.00881475,0.00023799999999999998,0.00905275,1767204347.232467,,2.37593412399292,0.3333333333333333,0.00019786307874950534,,1767204352.608401
actor-only,gpt-5.2,tw-treasure-1,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!",True,1.0,3,20,2,5073,18,5091,0.00887775,0.000252,0.00912975,1767204353.7580154,,1.3277804851531982,0.3333333333333333,0.00019642506383814575,,1767204358.0857959
actor-only,gpt-5.2,tw-treasure-1,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!",True,1.0,4,20,3,6956,24,6980,0.012173,0.00033600000000000004,0.012509,1767204359.2286103,,2.039621114730835,0.25,0.00014326647564469913,,1767204365.2682314
actor-only,gpt-5.2,tw-treasure-1,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!",True,1.0,4,20,3,6779,25,6804,0.01186325,0.00035,0.01221325,1767204366.386143,,-0.11081171035766602,0.25,0.00014697236919459142,,1767204370.2753313
actor-only,gpt-5.2,tw-treasure-1,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!",True,1.0,5,20,4,8712,30,8742,0.015246,0.00042,0.015666,1767204371.4120243,,2.1916160583496094,0.2,0.00011439029970258523,,1767204378.6036403
actor-only,gpt-5.2,tw-treasure-1,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!",True,1.0,5,20,4,8808,30,8838,0.015414,0.00042,0.015834,1767204379.6877632,,2.3322229385375977,0.2,0.00011314777098891151,,1767204387.0199862
actor-only,gpt-5.2,tw-treasure-1,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!",True,1.0,6,20,5,11512,35,11547,0.020146,0.00049,0.020636,1767204388.1133537,,19.466412782669067,0.16666666666666666,8.660258075690655e-05,,1767204413.5797665
actor-only,gpt-5.2,tw-treasure-1,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!",True,1.0,6,20,5,11456,36,11492,0.020048,0.000504,0.020552,1767204414.6983984,,4.068041086196899,0.16666666666666666,8.70170553428472e-05,,1767204424.7664394
