step_id,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
1,"I need to find the kitchen where the dinner is being prepared, so I should leave the bedroom through the door to the east.",go east,,You have to open the wooden door first.,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
2,I need to open the closed wooden door to the east before I can go through it.,open wooden door,,You have to unlock the wooden door with the old key first.,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
3,I need to find the old key to unlock the wooden door before opening it.,open chest drawer,,You open the chest drawer.,Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
4,"The chest drawer is empty, so I should check the antique trunk for the old key.",open antique trunk,,"You open the antique trunk, revealing an old key.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk contains an old key. You check the price tag that the antique trunk's owner still hasn't taken off. Ninety big ones?! That's ridiculous! You know, I got a friend who could get you one of those for 50 bucks! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,1 of 8,0.125,False,
5,I need to take the old key from the antique trunk to unlock the wooden door.,take old key from antique trunk,,"You take the old key from the antique trunk.



Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying: an old key.,2 of 8,0.25,False,
6,I will now unlock the wooden door with the old key to be able to go east.,unlock wooden door with old key,,"You unlock wooden door.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying: an old key.,3 of 8,0.375,False,
7,"Now that the door is unlocked, I will open the wooden door to go east.",open wooden door,,"You open wooden door.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is an open wooden door leading east.",You are carrying: an old key.,4 of 8,0.5,False,
8,I will go east through the open wooden door to continue my task.,go east,,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
9,I should examine the note on the kitchen island to see if it provides any useful information.,examine note,,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
10,"I need to find a half bag of chips and a way to grill it, likely using the stove.",look,,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
11,I should check the refrigerator to see if there is a half bag of chips inside.,open refrigerator,,"You open the refrigerator, revealing a lettuce and a milk.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. The refrigerator contains a lettuce and a milk. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
12,"There is no bag of chips in the refrigerator, so I should check the kitchen island for any items.",examine kitchen island,,"The kitchen island is wobbly.

On the kitchen island is a note.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. The refrigerator contains a lettuce and a milk. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
13,I should take the note from the kitchen island to see if it has any useful information.,take note from kitchen island,,You take the note from the kitchen island.,Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. The refrigerator contains a lettuce and a milk. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. However, the kitchen island, like an empty kitchen island, has nothing on it. Sometimes, just sometimes, TextWorld can just be the worst.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: a note and an old key.,5 of 8,0.625,False,
14,"Since there is no bag of chips in the kitchen, I should explore the other exits to find the chips.",go west,,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is an open wooden door leading east.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is an open wooden door leading east.",You are carrying: a note and an old key.,5 of 8,0.625,False,
15,"The bedroom has no chips, so I should try the other exits from the kitchen to find the chips.",go east,,"You are in a kitchen. A standard one.

You can make out a refrigerator. The refrigerator contains a lettuce and a milk. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. However, the kitchen island, like an empty kitchen island, has nothing on it. Sometimes, just sometimes, TextWorld can just be the worst.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. The refrigerator contains a lettuce and a milk. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. However, the kitchen island, like an empty kitchen island, has nothing on it. Sometimes, just sometimes, TextWorld can just be the worst.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: a note and an old key.,5 of 8,0.625,False,
