agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
baseline,gpt-4.1-mini,hotpotqa-100,0,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,Rosie Mac,1.0,1,805,55,860,1.0,0.0011627906976744186,
baseline,gpt-4.1-mini,hotpotqa-100,1,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,Romanticism,1.0,1,804,71,875,1.0,0.001142857142857143,
baseline,gpt-4.1-mini,hotpotqa-100,2,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,The Englishman Who Went Up a Hill But Came Down a Mountain,0.0,1,799,79,878,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,3,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,Just Dance (RedOne Remix),0.0,1,813,114,927,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,4,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Margaret Wilson,1.0,1,795,68,863,1.0,0.0011587485515643105,
baseline,gpt-4.1-mini,hotpotqa-100,5,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,Percy Clifford Mills,1.0,1,796,75,871,1.0,0.001148105625717566,
baseline,gpt-4.1-mini,hotpotqa-100,6,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","Awaken, My Love!",1.0,1,804,82,886,1.0,0.001128668171557562,
baseline,gpt-4.1-mini,hotpotqa-100,7,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Indiana,1.0,1,808,60,868,1.0,0.001152073732718894,
baseline,gpt-4.1-mini,hotpotqa-100,8,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground,1.0,1,796,61,857,1.0,0.0011668611435239206,
baseline,gpt-4.1-mini,hotpotqa-100,9,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,"The member was a Janata Party representative, but the specific name is not provided in the question.",0.0,1,828,111,939,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,10,bridge,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",Terry Crews,Terry Crews,1.0,1,808,76,884,1.0,0.0011312217194570137,
baseline,gpt-4.1-mini,hotpotqa-100,11,bridge,What position does the current holder of the Ligue 1 Young player of the year play?,forward,midfielder,0.0,1,802,76,878,0.0,0.0,
baseline,gpt-4.1-mini,hotpotqa-100,12,bridge,How many ships does the cruise line that is a client of Moment Factory have?,24,26,0.0,1,800,81,881,0.0,0.0,
