step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"It's time to explore the amazing world of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to make sure that the door inside the dish-pit is wide open. And then, attempt to head north. And then, doublecheck that the gateway is open. Then, attempt to venture west. Once you accomplish that, try to go to the north. Then, venture west. And then, recover the latchkey from the pan. That's it!",,Dish-Pit,"You've just sauntered into a dish-pit.

You can make out a table. On the table you can make out a sandwich.

There is a closed door leading north. There is an open portal leading west.",You are carrying nothing.,0 of 1,0.0,False,
1,"1. [ ] Open the door inside the dish-pit
2. [ ] Go north
3. [ ] Check if the gateway is open
4. [ ] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan",I need to open the door inside the dish-pit first.,open door,,You open door.,Dish-Pit,"You've just sauntered into a dish-pit.

You can make out a table. On the table you can make out a sandwich.

There is an open door leading north. There is an open portal leading west.",You are carrying nothing.,0 of 1,0.0,False,
2,"1. [x] Open the door inside the dish-pit
2. [ ] Go north
3. [ ] Check if the gateway is open
4. [ ] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan","Now that the door is open, I should go north.",go north,,"You are in a bedroom. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an open door leading south. There is a closed gateway leading west.",Bedroom,"You are in a bedroom. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an open door leading south. There is a closed gateway leading west.",You are carrying nothing.,0 of 1,0.0,False,
3,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [ ] Check if the gateway is open
4. [ ] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan",I need to check if the gateway to the west is open.,examine gateway,,"it is what it is, a gateway It is closed.",Bedroom,"You are in a bedroom. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an open door leading south. There is a closed gateway leading west.",You are carrying nothing.,0 of 1,0.0,False,
4,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [ ] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan","The gateway is closed, so I should try to go south to return to the dish-pit and then go west through the open portal.",go south,,"You've just sauntered into a dish-pit.

You can make out a table. On the table you can make out a sandwich.

There is an open door leading north. There is an open portal leading west.",Dish-Pit,"You've just sauntered into a dish-pit.

You can make out a table. On the table you can make out a sandwich.

There is an open door leading north. There is an open portal leading west.",You are carrying nothing.,0 of 1,0.0,False,
5,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [ ] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan",I should go west through the open portal from the dish-pit.,go west,,"You're now in a study. You begin looking for stuff.

You can see an opened locker. The locker is empty! This is the worst thing that could possibly happen, ever!

There is an open portal leading east. There is an open gate leading west.",Study,"You're now in a study. You begin looking for stuff.

You can see an opened locker. The locker is empty! This is the worst thing that could possibly happen, ever!

There is an open portal leading east. There is an open gate leading west.",You are carrying nothing.,0 of 1,0.0,False,
6,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan",I should go north from the study.,go north,,You can't go that way.,Study,"You're now in a study. You begin looking for stuff.

You can see an opened locker. The locker is empty! This is the worst thing that could possibly happen, ever!

There is an open portal leading east. There is an open gate leading west.",You are carrying nothing.,0 of 1,0.0,False,
7,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [ ] Go north
6. [ ] Go west
7. [ ] Take the latchkey from the pan","I cannot go north from the study, so I should try going west through the open gate.",go west,,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",Kitchenette,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
8,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [x] Go west
6. [ ] Go north
7. [ ] Take the latchkey from the pan",I should go north from the kitchenette as suggested.,go north,,"Fancy seeing you here. Here, by the way, being the shower.

You can see a shelf. The shelf is normal. But there isn't a thing on it.

There is an unblocked exit to the south.",Shower,"Fancy seeing you here. Here, by the way, being the shower.

You can see a shelf. The shelf is normal. But there isn't a thing on it.

There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
9,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [x] Go west
6. [x] Go north
7. [ ] Take the latchkey from the pan",I should go back south to the kitchenette and then try to find the pan to take the latchkey.,go south,,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",Kitchenette,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
10,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [x] Go west
6. [x] Go north
7. [ ] Take the latchkey from the pan",I need to find the pan in the kitchenette to take the latchkey from it.,examine chest,,"The chest looks strong, and impossible to crack. It is closed.",Kitchenette,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
11,"1. [x] Open the door inside the dish-pit
2. [x] Go north
3. [x] Check if the gateway is open
4. [x] Go west
5. [x] Go west
6. [x] Go north
7. [ ] Take the latchkey from the pan",I should examine the case by the wall to see if the pan is there.,examine case,,"The case looks strong, and impossible to crack. You can't see inside it because the lid's in your way.",Kitchenette,"You've entered a kitchenette.

You can make out a chest. If you haven't noticed it already, there seems to be something there by the wall, it's a case. You wonder idly who left that here. Look out! It's a- oh, never mind, it's just a board. But oh no! there's nothing on this piece of junk. What, you think everything in TextWorld should have stuff on it?

There is an open gate leading east. You need an unguarded exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
