step_id,task,feedback,location,description,inventory,score,reward,is_done,thought,action,error,final_reward
1,,,Sauna,"You arrive in a sauna. A typical kind of place. You can barely contain your excitement. There is an unblocked exit to the east. You don't like doors? Why not try going north, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,Need follow scripted navigation; first instruction travel north from Sauna (exit north unblocked). Action should be: go north.,go north,,0.0
2,,"You've just shown up in a bar. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",Bar,"You've just shown up in a bar. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"Next instruction is “make an attempt to go north”; from the Bar there is an unblocked exit to the north, so do that now.",go north,,0.0
3,,"You've just walked into a studio. You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked.",Studio,"You've just walked into a studio. You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"Next instruction says “go to the north” (again). From the Studio, north is available, so the next action should be to go north.",go north,,0.0
4,,"You've just walked into a serious studio. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an exit to the west. Don't worry, it is unblocked.",Serious Studio,"You've just walked into a serious studio. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"Next scripted move is “take a trip west.” From the Serious Studio, west is unblocked, so go west.",go west,,0.0
5,,"You are in a kitchenette. A sweaty kind of place. You begin looking for stuff. You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Sweaty Kitchenette,"You are in a kitchenette. A sweaty kind of place. You begin looking for stuff. You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"Next instruction is “try to move west.” From the Sweaty Kitchenette, west is an unguarded exit, so the best next action is to go west.",go west,,0.0
6,,"You've entered an exciting playroom. The room is well lit. There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unblocked. You need an unguarded exit? You should try going west.",Exciting Playroom,"You've entered an exciting playroom. The room is well lit. There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unblocked. You need an unguarded exit? You should try going west.",You are carrying nothing.,0,0.0,False,"Next scripted move is “venture north.” From the Exciting Playroom, the north exit is unblocked, so go north.",go north,,0.0
7,,"You find yourself in an usual kind of place. That is to say, you're in a shower. There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unguarded exit? You should try going west.",Shower,"You find yourself in an usual kind of place. That is to say, you're in a shower. There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unguarded exit? You should try going west.",You are carrying nothing.,0,0.0,False,"Next instruction is “make an attempt to go to the west.” From the Shower there is an unguarded exit west, so the next action should be to go west.",go west,,0.0
8,,"You've seen better studio 1s, but at least this one seems pretty serious. There is an unblocked exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unblocked.",Serious Studio 1,"You've seen better studio 1s, but at least this one seems pretty serious. There is an unblocked exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"Next scripted move is “try to head south.” From Serious Studio 1, there’s an unguarded exit to the south, so we should go south.",go south,,0.0
9,,"Well, here we are in the chamber. You can barely contain your excitement. You need an unblocked exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",Chamber,"Well, here we are in the chamber. You can barely contain your excitement. You need an unblocked exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",You are carrying nothing.,0,0.0,False,"Next instruction is “try to move west.” From the Chamber, there is an unblocked exit to the west, so the best next action is to go west.",go west,,0.0
10,,"You're not going to believe this, but you've just entered a forgotten attic. You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unblocked exit to the west.",Forgotten Attic,"You're not going to believe this, but you've just entered a forgotten attic. You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,"Next instruction in the script is “make an attempt to go to the west” (again), and from the Forgotten Attic there is an unblocked exit west. So the best next action is to go west.",go west,,0.0
11,,"Look around you. Take it all in. It's not every day someone gets to be in a washroom. I guess you better just go and list everything you see here. You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unblocked.",Washroom,"Look around you. Take it all in. It's not every day someone gets to be in a washroom. I guess you better just go and list everything you see here. You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"Next scripted instruction is “make an attempt to head west.” From the Washroom, there is an unblocked exit to the west, so the next action should be to go west.",go west,,0.0
12,,"You've entered a closet. You decide to just list off a complete list of everything you see in the room, because hey, why not? You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unguarded.",Closet,"You've entered a closet. You decide to just list off a complete list of everything you see in the room, because hey, why not? You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"Next scripted instruction after “make an attempt to head west” is “travel west.” From the Closet, there is an unguarded exit to the west, so the best next action is to go west.",go west,,0.0
13,,"You arrive in a workshop. A standard one. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Workshop,"You arrive in a workshop. A standard one. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"Next in the scripted list is “try to travel south.” From the Workshop there’s an unblocked exit to the south, so we should go south next.",go south,,0.0
14,,"You are in a garage. It seems to be pretty usual here. You decide to start listing off everything you see in the room, as if you were in a text adventure. There is an exit to the east. Don't worry, it is unblocked. There is an unblocked exit to the north. You need an unguarded exit? You should try going south.",Garage,"You are in a garage. It seems to be pretty usual here. You decide to start listing off everything you see in the room, as if you were in a text adventure. There is an exit to the east. Don't worry, it is unblocked. There is an unblocked exit to the north. You need an unguarded exit? You should try going south.",You are carrying nothing.,0,0.0,False,"Next scripted instruction is “try to go to the south.” From the Garage, there’s an unguarded exit to the south, so the best next action is to go south.",go south,,0.0
15,,"You find yourself in a parlor. A typical one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building. There is an unguarded exit to the east. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unguarded.",Parlor,"You find yourself in a parlor. A typical one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building. There is an unguarded exit to the east. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"Next scripted instruction is “venture south” (then another “venture south”). From the Parlor there’s an unguarded exit to the south, so go south now.",go south,,0.0
16,,"You arrive in a kitchen. A standard one. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",Kitchen,"You arrive in a kitchen. A standard one. You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"Need follow script: after venture south to kitchen, next is venture south again. From kitchen exit south unblocked, so go south.",go south,,0.0
17,,"You find yourself in a kitchenette. An usual one. There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded.",Kitchenette,"You find yourself in a kitchenette. An usual one. There is an unguarded exit to the east. You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"Next scripted instruction is “make an effort to venture south.” From the kitchenette, there’s an unguarded exit to the south, so go south.",go south,,0.0
18,,"You are in a launderette. An usual kind of place. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unguarded.",Launderette,"You are in a launderette. An usual kind of place. There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"Next in the script is “make an attempt to go west.” From the launderette, there’s an unguarded exit to the west, so the best next action is to go west.",go west,,0.0
19,,You are in a shower. A steamy one. Let's see what's in here. You need an unblocked exit? You should try going east. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.,Steamy Shower,You are in a shower. A steamy one. Let's see what's in here. You need an unblocked exit? You should try going east. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.,You are carrying nothing.,0,0.0,False,"Next scripted instruction after “make an attempt to go west” is “try to go to the north.” From the Steamy Shower, there is an unblocked exit to the north, so the best next action is to go north.",go north,,0.0
20,,You've stumbled into a messy room. Your mind races to think of what kind of room would be messy. And then it hits you. Of course. You're in the messy closet. You need an unguarded exit? You should try going east. You need an unguarded exit? You should try going north. There is an unblocked exit to the south.,Messy Closet,You've stumbled into a messy room. Your mind races to think of what kind of room would be messy. And then it hits you. Of course. You're in the messy closet. You need an unguarded exit? You should try going east. You need an unguarded exit? You should try going north. There is an unblocked exit to the south.,You are carrying nothing.,0,0.0,False,"Script continues: after “try to go to the north” (done), next is “travel east.” From the Messy Closet there is an unguarded exit to the east, so go east.",go east,,0.0
