agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
summary-10,gpt-4.1-mini,tw-cooking-3,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.2,22,67,45,94053,907,94960,0.0752424,0.0029024000000000003,0.0781448,1763721920.6598754,,92.13090419769287,0.009090909090909092,2.106149957877001e-06,,1763722034.7907796
summary-10,gpt-4.1-mini,tw-cooking-3,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,16,60,40,57179,733,57912,0.045743200000000005,0.0023456,0.04808880000000001,1763722036.087838,,38.998884439468384,0.008928571428571428,2.4667969135437015e-06,,1763722091.0867224
summary-10,gpt-4.1-mini,tw-cooking-3,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.26666666666666666,24,69,46,89241,1053,90294,0.0713928,0.0033696,0.0747624,1763722092.3952866,,91.35853886604309,0.011111111111111112,2.953315465774765e-06,,1763722207.7538254
summary-10,gpt-4.1-mini,tw-cooking-3,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.13333333333333333,21,66,44,77909,857,78766,0.062327200000000006,0.0027424000000000003,0.0650696,1763722209.1249702,,53.19588780403137,0.006349206349206349,1.6927777636712963e-06,,1763722283.320858
summary-10,gpt-4.1-mini,tw-cooking-3,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,28,64,43,104177,1043,105220,0.08334160000000002,0.0033376000000000005,0.08667920000000001,1763722284.5561101,,196.81123399734497,0.00510204081632653,1.357699513943574e-06,,1763722509.3673441
summary-10,gpt-4.1-mini,tw-cooking-3,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4666666666666667,26,66,44,97763,1046,98809,0.07821040000000001,0.0033472000000000003,0.08155760000000001,1763722510.6325004,,96.30109286308289,0.017948717948717947,4.722916603413319e-06,,1763722632.9335933
summary-10,gpt-4.1-mini,tw-cooking-3,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,33,72,48,144847,1370,146217,0.11587760000000001,0.004384,0.12026160000000001,1763722634.1725223,,167.79903411865234,0.007575757575757576,1.7097875076085544e-06,,1763722834.9715564
summary-10,gpt-4.1-mini,tw-cooking-3,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,23,64,43,81556,1085,82641,0.0652448,0.0034720000000000003,0.06871680000000001,1763722836.2608197,,62.19965410232544,0.01358695652173913,3.781416004162583e-06,,1763722921.4604738
summary-10,gpt-4.1-mini,tw-cooking-3,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4,18,63,42,67823,776,68599,0.0542584,0.0024832,0.056741599999999996,1763722922.739058,,28.2091281414032,0.022222222222222223,5.830988789924052e-06,,1763722968.9481862
summary-10,gpt-4.1-mini,tw-cooking-3,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,14,67,45,46774,585,47359,0.03741920000000001,0.0018720000000000002,0.039291200000000005,1763722970.202172,,32.877408266067505,0.017857142857142856,5.278827677949281e-06,,1763723017.0795803
summary-10,gpt-4.1-mini,tw-cooking-3,11,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.1875,16,66,44,57986,695,58681,0.04638880000000001,0.002224,0.048612800000000005,1763723018.3242333,,38.50053548812866,0.01171875,3.19524207153934e-06,,1763723072.8247688
summary-10,gpt-4.1-mini,tw-cooking-3,12,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.2,20,66,44,71642,830,72472,0.0573136,0.0026560000000000004,0.0599696,1763723074.0324745,,50.816882371902466,0.01,2.759686499613644e-06,,1763723144.849357
summary-10,gpt-4.1-mini,tw-cooking-3,13,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,21,64,43,71958,763,72721,0.0575664,0.0024416000000000004,0.060008,1763723146.1412683,,44.466726779937744,0.006802721088435374,1.964455148542276e-06,,1763723211.607995
summary-10,gpt-4.1-mini,tw-cooking-3,14,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,21,61,41,74779,919,75698,0.0598232,0.0029408000000000004,0.062764,1763723212.8728147,,113.60009121894836,0.006802721088435374,1.887198378519153e-06,,1763723347.4729059
summary-10,gpt-4.1-mini,tw-cooking-3,15,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,27,72,48,119795,1113,120908,0.095836,0.0035616000000000003,0.0993976,1763723348.7460678,,135.18670392036438,0.013071895424836602,2.919088699429221e-06,,1763723510.9327717
summary-10,gpt-4.1-mini,tw-cooking-3,16,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3333333333333333,19,64,43,65390,770,66160,0.052312000000000004,0.002464,0.054776000000000005,1763723512.1146536,,84.49676370620728,0.017543859649122806,5.0382910116888345e-06,,1763723615.6114173
summary-10,gpt-4.1-mini,tw-cooking-3,17,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4666666666666667,34,61,41,130427,1541,131968,0.10434159999999999,0.0049312,0.10927279999999999,1763723616.8176792,,115.30131125450134,0.013725490196078431,3.536210798577433e-06,,1763723766.1189904
summary-10,gpt-4.1-mini,tw-cooking-3,18,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,22,70,47,83056,956,84012,0.06644480000000001,0.0030592,0.06950400000000001,1763723767.3479314,,75.47370982170105,0.016042780748663103,4.201080517909207e-06,,1763723864.8216412
summary-10,gpt-4.1-mini,tw-cooking-3,19,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,27,69,46,101524,1118,102642,0.0812192,0.0035776000000000002,0.0847968,1763723866.1218839,,202.86796045303345,0.013071895424836602,3.438564880561449e-06,,1763724095.9898443
summary-10,gpt-4.1-mini,tw-cooking-3,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4375,25,67,45,87450,976,88426,0.06996000000000001,0.0031232,0.07308320000000001,1763724097.338911,,171.60093140602112,0.0175,4.947639834437835e-06,,1763724293.9398425
summary-10,gpt-4.1-mini,tw-cooking-3,21,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5294117647058824,54,69,46,238836,1985,240821,0.1910688,0.006352,0.1974208,1763724295.232143,,171.255872964859,0.00980392156862745,2.198362122513744e-06,,1763724520.488016
summary-10,gpt-4.1-mini,tw-cooking-3,22,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,21,69,46,78905,836,79741,0.063124,0.0026752000000000004,0.0657992,1763724521.7242942,,68.67431545257568,0.01488095238095238,3.918937560351639e-06,,1763724611.3986096
summary-10,gpt-4.1-mini,tw-cooking-3,23,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,17,63,42,61752,785,62537,0.049401600000000004,0.0025120000000000003,0.051913600000000004,1763724612.6540918,,49.65919303894043,0.014705882352941176,3.997633401026593e-06,,1763724679.3132849
summary-10,gpt-4.1-mini,tw-cooking-3,24,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.29411764705882354,18,70,47,64092,708,64800,0.0512736,0.0022656,0.0535392,1763724680.518597,,62.59435415267944,0.016339869281045753,4.5388525780682645e-06,,1763724761.112951
summary-10,gpt-4.1-mini,tw-cooking-3,25,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,17,63,42,59314,676,59990,0.0474512,0.0021632,0.049614399999999996,1763724762.3407943,,62.452587842941284,0.01838235294117647,5.209201533588931e-06,,1763724841.7933822
summary-10,gpt-4.1-mini,tw-cooking-3,26,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,19,63,42,72195,838,73033,0.057756,0.0026816,0.0604376,1763724843.012433,,80.44416761398315,0.01644736842105263,4.278887626141607e-06,,1763724942.4566007
summary-10,gpt-4.1-mini,tw-cooking-3,27,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5625,16,63,42,52140,551,52691,0.041712,0.0017632,0.0434752,1763724943.6973827,,31.843682050704956,0.03515625,1.0675447419862975e-05,,1763724991.5410647
summary-10,gpt-4.1-mini,tw-cooking-3,28,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.47058823529411764,47,64,43,225832,2012,227844,0.1806656,0.0064384,0.18710400000000002,1763724992.8124352,,322.9961612224579,0.010012515644555695,2.0653966542639597e-06,,1763725362.8085964
summary-10,gpt-4.1-mini,tw-cooking-3,29,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,15,67,45,53985,715,54700,0.043188000000000004,0.002288,0.045476,1763725364.107901,,59.27681279182434,0.023529411764705885,6.452306699645124e-06,,1763725438.384714
summary-10,gpt-4.1-mini,tw-cooking-3,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.23529411764705882,9,61,41,23261,391,23652,0.0186088,0.0012512,0.019860000000000003,1763725439.5925858,,22.110517501831055,0.026143790849673203,9.948170034122223e-06,,1763725470.7031033
summary-10,gpt-4.1-mini,tw-cooking-3,31,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5882352941176471,33,64,43,123575,1288,124863,0.09886,0.0041216000000000004,0.1029816,1763725471.9951768,,168.54607391357422,0.017825311942959002,4.711045658983423e-06,,1763725673.5412507
summary-10,gpt-4.1-mini,tw-cooking-3,32,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5294117647058824,22,63,42,82646,944,83590,0.0661168,0.0030208,0.06913760000000001,1763725674.7701392,,98.37598037719727,0.02406417112299465,6.333434199137246e-06,,1763725795.1461196
summary-10,gpt-4.1-mini,tw-cooking-3,33,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.47058823529411764,38,66,44,140513,1739,142252,0.11241040000000001,0.005564800000000001,0.1179752,1763725796.4230847,,142.98382019996643,0.012383900928792569,3.308130889506774e-06,,1763725977.406905
summary-10,gpt-4.1-mini,tw-cooking-3,34,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.47058823529411764,25,66,44,90786,1057,91843,0.07262880000000001,0.0033824000000000003,0.0760112,1763725978.5886197,,98.14364194869995,0.018823529411764704,5.123833447231881e-06,,1763726101.7322617
summary-10,gpt-4.1-mini,tw-cooking-3,35,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,26,91,61,103702,1138,104840,0.08296160000000001,0.0036416,0.0866032,1763726103.0066717,,118.7632806301117,0.009615384615384616,2.3845860358641738e-06,,1763726247.7699523
summary-10,gpt-4.1-mini,tw-cooking-3,36,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.13333333333333333,14,100,70,41701,632,42333,0.0333608,0.0020224,0.035383200000000004,1763726248.9994211,,15.578262090682983,0.009523809523809523,3.149631099457476e-06,,1763726278.5776832
summary-10,gpt-4.1-mini,tw-cooking-3,37,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,26,85,57,85894,1081,86975,0.0687152,0.0034592,0.0721744,1763726279.8532267,,91.64615249633789,0.005494505494505494,1.6425081098837925e-06,,1763726397.4993792
summary-10,gpt-4.1-mini,tw-cooking-3,38,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.21428571428571427,33,81,54,145086,1465,146551,0.1160688,0.004688,0.1207568,1763726398.7313476,,191.0059072971344,0.006493506493506493,1.4621920988987743e-06,,1763726622.7372549
summary-10,gpt-4.1-mini,tw-cooking-3,39,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,21,100,73,72695,871,73566,0.058156,0.0027872,0.0609432,1763726623.9830608,,70.73255372047424,0.006802721088435374,1.9418908579662187e-06,,1763726715.7156146
summary-10,gpt-4.1-mini,tw-cooking-3,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.14285714285714285,27,84,56,101684,1062,102746,0.08134720000000001,0.0033984,0.0847456,1763726716.9840443,,92.42431879043579,0.005291005291005291,1.3903912839151192e-06,,1763726836.408363
summary-10,gpt-4.1-mini,tw-cooking-3,41,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.21428571428571427,18,61,41,65910,784,66694,0.052728,0.0025088000000000003,0.055236799999999996,1763726837.6634643,,78.68368577957153,0.011904761904761904,3.2129683972428444e-06,,1763726934.34715
summary-10,gpt-4.1-mini,tw-cooking-3,42,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.1875,15,100,87,53330,601,53931,0.04266400000000001,0.0019232,0.04458720000000001,1763726935.6046467,,59.61030411720276,0.0125,3.476664627023419e-06,,1763727010.2149508
summary-10,gpt-4.1-mini,tw-cooking-3,43,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.4117647058823529,86,94,63,439550,3657,443207,0.35164,0.011702400000000002,0.3633424,1763727011.447902,,593.3998718261719,0.0047879616963064295,9.290573160675552e-07,,1763727690.8477738
summary-10,gpt-4.1-mini,tw-cooking-3,44,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.06666666666666667,23,90,60,70289,913,71202,0.05623120000000001,0.0029216,0.059152800000000005,1763727692.1669881,,47.96483778953552,0.002898550724637681,9.36303287360842e-07,,1763727763.131826
summary-10,gpt-4.1-mini,tw-cooking-3,45,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.2,47,93,62,189366,2040,191406,0.1514928,0.006528000000000001,0.15802080000000002,1763727764.3835294,,195.48617815971375,0.00425531914893617,1.0448993239501375e-06,,1763728006.8697076
summary-10,gpt-4.1-mini,tw-cooking-3,46,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.21428571428571427,15,70,47,49897,601,50498,0.0399176,0.0019232,0.0418408,1763728008.0987902,,29.96985125541687,0.014285714285714285,4.243449528411309e-06,,1763728053.0686414
summary-10,gpt-4.1-mini,tw-cooking-3,47,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3333333333333333,31,96,64,124225,1157,125382,0.09938000000000001,0.0037024000000000002,0.1030824,1763728054.3314705,,171.304265499115,0.01075268817204301,2.6585421618201443e-06,,1763728256.635736
summary-10,gpt-4.1-mini,tw-cooking-3,48,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.058823529411764705,11,99,66,30537,544,31081,0.024429600000000003,0.0017408,0.026170400000000003,1763728257.909561,,43.40953516960144,0.0053475935828877,1.8925880573908401e-06,,1763728312.319096
summary-10,gpt-4.1-mini,tw-cooking-3,49,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,28,85,57,111793,1191,112984,0.08943440000000001,0.0038112000000000003,0.09324560000000001,1763728313.6226149,,106.22929549217224,0.008928571428571428,2.2127026835658147e-06,,1763728447.8519104
summary-10,gpt-4.1-mini,tw-cooking-3,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.29411764705882354,32,91,61,125937,1303,127240,0.1007496,0.0041696,0.10491919999999999,1763728449.1001854,,120.85256290435791,0.009191176470588236,2.3115187602862587e-06,,1763728601.9527483
summary-10,gpt-4.1-mini,tw-cooking-3,51,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.1875,6,100,69,13594,297,13891,0.010875200000000002,0.0009504000000000001,0.011825600000000002,1763728603.1878853,,9.024074792861938,0.03125,1.3497948311856597e-05,,1763728618.21196
summary-10,gpt-4.1-mini,tw-cooking-3,52,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3333333333333333,17,75,50,62516,671,63187,0.0500128,0.0021472,0.052160000000000005,1763728619.463233,,42.340407609939575,0.0196078431372549,5.275346722163314e-06,,1763728678.8036406
summary-10,gpt-4.1-mini,tw-cooking-3,53,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,20,91,61,75570,802,76372,0.060456,0.0025664,0.0630224,1763728680.0405192,,103.82793807983398,0.015625,4.091813753731734e-06,,1763728803.8684573
summary-10,gpt-4.1-mini,tw-cooking-3,54,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,70,100,87,297985,2738,300723,0.23838800000000002,0.0087616,0.24714960000000002,1763728805.0961354,,445.6885721683502,0.0035714285714285713,8.313298284467766e-07,,1763729320.7847075
summary-10,gpt-4.1-mini,tw-cooking-3,55,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.375,20,87,58,70529,875,71404,0.0564232,0.0028000000000000004,0.059223200000000004,1763729322.0334635,,98.89129281044006,0.01875,5.251806621477788e-06,,1763729440.9247563
summary-10,gpt-4.1-mini,tw-cooking-3,56,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.29411764705882354,31,84,56,118402,1448,119850,0.0947216,0.004633600000000001,0.0993552,1763729442.1416476,,172.36096453666687,0.009487666034155597,2.454047952096984e-06,,1763729645.502612
summary-10,gpt-4.1-mini,tw-cooking-3,57,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,48,79,53,191570,1874,193444,0.153256,0.0059968,0.1592528,1763729646.735327,,145.24202036857605,0.006510416666666667,1.615454601848597e-06,,1763729839.9773474
summary-10,gpt-4.1-mini,tw-cooking-3,58,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.3125,35,91,61,145246,1573,146819,0.11619679999999999,0.0050336,0.12123039999999999,1763729841.2608178,,144.70600128173828,0.008928571428571428,2.128471110687309e-06,,1763730020.966819
summary-10,gpt-4.1-mini,tw-cooking-3,59,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.375,31,100,72,118623,1179,119802,0.09489840000000001,0.0037727999999999998,0.09867120000000001,1763730022.247082,,97.02027487754822,0.012096774193548387,3.1301647718735916e-06,,1763730150.2673569
summary-10,gpt-4.1-mini,tw-cooking-3,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,38,75,50,149368,1504,150872,0.1194944,0.0048128,0.1243072,1763730151.4839349,,93.93576145172119,0.009287925696594429,2.339341802790367e-06,,1763730283.4196963
summary-10,gpt-4.1-mini,tw-cooking-3,61,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.23529411764705882,18,100,68,64648,796,65444,0.0517184,0.0025472000000000003,0.0542656,1763730284.6398664,,54.70324754714966,0.013071895424836602,3.595350492742785e-06,,1763730357.343114
summary-10,gpt-4.1-mini,tw-cooking-3,62,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.35294117647058826,13,93,62,44564,653,45217,0.0356512,0.0020896,0.0377408,1763730358.6127777,,41.308337450027466,0.027149321266968326,7.80549741182715e-06,,1763730412.9211152
summary-10,gpt-4.1-mini,tw-cooking-3,63,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.17647058823529413,16,100,72,55407,809,56216,0.0443256,0.0025888000000000005,0.0469144,1763730414.1885712,,35.67338800430298,0.011029411764705883,3.1391523451560787e-06,,1763730465.8619592
summary-10,gpt-4.1-mini,tw-cooking-3,64,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.23529411764705882,12,88,59,35619,468,36087,0.0284952,0.0014976,0.0299928,1763730467.1084578,,40.7502920627594,0.0196078431372549,6.520190585170804e-06,,1763730519.8587499
summary-10,gpt-4.1-mini,tw-cooking-3,65,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.23529411764705882,21,85,57,75458,994,76452,0.0603664,0.0031808000000000006,0.0635472,1763730521.0684066,,55.4823362827301,0.011204481792717087,3.0776711877656415e-06,,1763730597.5507429
summary-10,gpt-4.1-mini,tw-cooking-3,66,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.29411764705882354,26,100,67,106145,1254,107399,0.084916,0.0040127999999999995,0.0889288,1763730598.8240454,,102.68100309371948,0.011312217194570135,2.738551076442272e-06,,1763730727.5050485
summary-10,gpt-4.1-mini,tw-cooking-3,67,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.17647058823529413,14,94,63,43916,674,44590,0.0351328,0.0021568,0.0372896,1763730728.7525082,,71.82445502281189,0.012605042016806723,3.957627006846695e-06,,1763730814.5769632
