agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline-10,gpt-4.1-mini,tw-simple-1,10,"Welcome to another fast paced episode of TextWorld! First, it would be good if you could ensure that the chest drawer is open. After that, retrieve the old key from the chest drawer. Having taken the old key, look and see that the wooden door is unlocked with the old key. After that, doublecheck that the wooden door is opened. After that, make an effort to take a trip east. Once you get through with that, ensure that the refrigerator inside the kitchen is open. And then, recover the lettuce from the refrigerator. Then, place the lettuce on the stove inside the kitchen. Alright, thanks!",True,1.0,9,20,8,21389,200,21589,0.0171112,0.00064,0.0177512,1765331812.4088078,,23.743049383163452,0.1111111111111111,4.6319885126684886e-05,,1765331845.1518571
baseline-10,gpt-4.1-mini,tw-simple-1,20,"Welcome to another life changing round of TextWorld! First step, make it so that the chest drawer inside the bedroom is opened. Then, recover the old key from the chest drawer in the bedroom. Having picked up the old key, make it so that the wooden door inside the bedroom is unlocked. If you have unlocked the wooden door, make it so that the wooden door inside the bedroom is open. After that, travel east. And then, ensure that the screen door in the kitchen is open. And then, venture east. And then, travel south. After that, pick-up the lettuce from the floor of the garden. And then, make an attempt to take a trip north. After that, head west. If you can accomplish that, rest the lettuce on the stove. Once that's all handled, you can stop!",True,1.0,12,20,12,30209,238,30447,0.0241672,0.0007616000000000001,0.0249288,1765331846.467735,,36.3245153427124,0.08333333333333333,3.2843958353860805e-05,,1765331894.7922504
baseline-10,gpt-4.1-mini,tw-simple-1,30,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, ensure that the chest drawer in the bedroom is open. And then, retrieve the old key from the chest drawer within the bedroom. And then, make it so that the wooden door inside the bedroom is unlocked. Then, open the wooden door. After that, take a trip east. Then, look and see that the screen door is ajar. Then, head east. After that, travel south. And then, pick up the apple from the floor of the garden. Then, go to the north. After that, make an effort to head west. And then, sit the apple on the stove inside the kitchen. And once you've done that, you win!",True,1.0,13,20,12,34550,269,34819,0.027639999999999998,0.0008608,0.028500799999999996,1765331896.2013981,,9.914069652557373,0.07692307692307693,2.871995175048106e-05,,1765331919.1154678
baseline-10,gpt-4.1-mini,tw-simple-1,40,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,False,0.875,20,20,9,50419,550,50969,0.0403352,0.0017600000000000003,0.0420952,1765331920.5390668,,26.932254552841187,0.04375,1.716729776923228e-05,,1765331967.4713213
baseline-10,gpt-4.1-mini,tw-simple-1,50,The dinner is almost ready! It's only missing a grilled apple.,False,0.5,20,20,12,49416,531,49947,0.03953280000000001,0.0016992,0.041232000000000005,1765331968.8811522,,41.42099070549011,0.025,1.0010611247922799e-05,,1765332030.3021429
baseline-10,gpt-4.1-mini,tw-simple-1,60,The dinner is almost ready! It's only missing a grilled bell pepper.,True,1.0,18,20,8,46572,465,47037,0.0372576,0.0014880000000000002,0.038745600000000005,1765332031.6109507,,42.88603901863098,0.05555555555555555,2.12598592597317e-05,,1765332092.4969897
baseline-10,gpt-4.1-mini,tw-simple-1,70,,False,0.6,20,20,12,50773,594,51367,0.0406184,0.0019008000000000002,0.0425192,1765332093.8789673,,15.830612897872925,0.03,1.1680651001615823e-05,,1765332129.7095802
baseline-10,gpt-4.1-mini,tw-simple-1,80,,False,0.25,20,20,12,52443,658,53101,0.0419544,0.0021056,0.04406,1765332131.1601882,,30.03002381324768,0.0125,4.708009265362234e-06,,1765332181.190212
baseline-10,gpt-4.1-mini,tw-simple-1,90,,False,0.0,20,20,9,51579,542,52121,0.0412632,0.0017343999999999999,0.0429976,1765332182.6163993,,51.11413526535034,0.0,0.0,,1765332253.7305346
baseline-10,gpt-4.1-mini,tw-simple-1,100,,False,0.0,20,20,9,50674,560,51234,0.0405392,0.001792,0.0423312,1765332255.1735091,,51.44650959968567,0.0,0.0,,1765332326.6200187
