agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline-100,gpt-5.2,tw-treasure-1,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,True,1.0,1,20,1,1447,32,1479,0.0025322499999999998,0.000448,0.00298025,1766949849.5170643,,0.477170467376709,1.0,0.000676132521974307,,1766949850.9942348
baseline-100,gpt-5.2,tw-treasure-1,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",True,1.0,1,20,1,1463,31,1494,0.00256025,0.00043400000000000003,0.00299425,1766949852.412479,,2.3233354091644287,1.0,0.0006693440428380187,,1766949855.7358143
baseline-100,gpt-5.2,tw-treasure-1,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",True,1.0,2,20,2,3140,51,3191,0.005495,0.000714,0.006209,1766949857.318278,,7.614711046218872,0.5,0.00031338138514572234,,1766949866.9329891
baseline-100,gpt-5.2,tw-treasure-1,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!",True,1.0,2,20,2,3144,53,3197,0.005502,0.000742,0.0062439999999999996,1766949868.4999728,,2.6089649200439453,0.5,0.00031279324366593683,,1766949873.1089377
baseline-100,gpt-5.2,tw-treasure-1,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!",True,1.0,3,20,3,4906,65,4971,0.0085855,0.0009099999999999999,0.009495499999999999,1766949875.2002654,,4.478132486343384,0.3333333333333333,0.0002011667672500503,,1766949882.678398
baseline-100,gpt-5.2,tw-treasure-1,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!",True,1.0,3,20,3,4782,77,4859,0.0083685,0.001078,0.0094465,1766949884.0801008,,0.6856565475463867,0.3333333333333333,0.00020580366330520683,,1766949887.7657573
baseline-100,gpt-5.2,tw-treasure-1,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!",True,1.0,4,20,4,6646,87,6733,0.0116305,0.001218,0.0128485,1766949889.2624114,,3.167067766189575,0.25,0.0001485222040695084,,1766949896.4294791
baseline-100,gpt-5.2,tw-treasure-1,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!",True,1.0,4,20,4,6693,81,6774,0.011712750000000001,0.001134,0.01284675,1766949897.8883572,,3.2030882835388184,0.25,0.00014762326542663124,,1766949905.0914454
baseline-100,gpt-5.2,tw-treasure-1,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!",True,1.0,5,20,5,9146,98,9244,0.0160055,0.001372,0.017377499999999997,1766949906.6926868,,3.4470157623291016,0.2,0.00010817827780181739,,1766949915.1397026
baseline-100,gpt-5.2,tw-treasure-1,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!",True,1.0,5,20,5,9073,108,9181,0.01587775,0.0015119999999999999,0.01738975,1766949916.5836947,,4.140955448150635,0.2,0.00010892059688487092,,1766949925.7246501
