agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
memory-v1,gpt-4.1-mini,tw-treasure-3,10,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! First off, if it's not too much trouble, I need you to take a trip west. That done, venture north. And then, pick-up the fondue from the floor of the studio. And if you do that, you're the winner!",True,1.0,3,20,3,5335,174,5509,0.004268,0.0005568,0.0048248,1763873485.5962582,,6.158628940582275,0.3333333333333333,0.0001815211472136504,,1763873494.754887
memory-v1,gpt-4.1-mini,tw-treasure-3,20,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to ensure that the passageway inside the bedchamber is open. And then, make an effort to take a trip south. With that over with, venture south. And then, travel east. Then, pick-up the passkey from the floor of the laundromat. Once that's all handled, you can stop!",True,1.0,5,20,5,10530,317,10847,0.008424,0.0010144000000000002,0.0094384,1763873495.9741187,,20.293263912200928,0.2,9.219138932423711e-05,,1763873521.2673826
memory-v1,gpt-4.1-mini,tw-treasure-3,30,"Who's got a virtual machine and is about to play through an life changing round of TextWorld? You do! Here is how to play! First of all, you could, like, head west. Then, take a trip west. If you can get around to doing that, take a trip west. If you can finish that, make an attempt to head south. And then, make an effort to go east. Then, try to go east. Then, recover the loaf of bread from the rack in the laundromat. And once you've done that, you win!",True,1.0,7,20,7,18041,599,18640,0.014432800000000003,0.0019168000000000002,0.016349600000000002,1763873522.5000744,,59.393640756607056,0.14285714285714285,5.3648068669527894e-05,,1763873588.8937151
memory-v1,gpt-4.1-mini,tw-treasure-3,40,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First stop, make an effort to travel north. And then, travel west. With that over with, make an attempt to travel west. With that accomplished, make an effort to venture south. After that, head south. With that done, travel west. After that, go north. That done, go north. And then, lift the keycard from the floor of the cubicle. Once that's all handled, you can stop!",True,1.0,9,20,9,23372,680,24052,0.0186976,0.0021760000000000004,0.020873600000000003,1763873590.119075,,32.49808979034424,0.1111111111111111,4.1576584067852984e-05,,1763873631.6171649
memory-v1,gpt-4.1-mini,tw-treasure-3,50,"Welcome to another fast paced session of TextWorld! First of all, you could, like, travel west. Then, attempt to venture west. And then, go north. And then, make an effort to head east. And then, move east. Then, head east. With that done, attempt to venture north. Okay, and then, attempt to move west. After that, try to venture west. Then, try to head west. Next, retrieve the Comic Strip Calendar from the chair. Once that's all handled, you can stop!",False,0.0,20,20,11,55633,1104,56737,0.0445064,0.0035328,0.048039200000000004,1763873632.7675183,,39.08036804199219,0.0,0.0,,1763873691.8478863
memory-v1,gpt-4.1-mini,tw-treasure-3,60,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Your first objective is to open the portal in the bar. After that, go to the south. And then, recover the passkey from the plate inside the dish-pit. If you can get your hands on the passkey, unlock the gateway with the passkey. Then, ensure that the gateway inside the dish-pit is open. After that, go south. And then, try to take a trip west. And then, take a trip west. If you can get through with that, make an attempt to venture west. Once you accomplish that, take a trip north. And then, make an effort to go east. Then, lift the sandwich from the floor of the parlor. And if you do that, you're the winner!",False,0.0,20,20,12,55933,1308,57241,0.0447464,0.0041856,0.048931999999999996,1763873693.0787377,,59.6124701499939,0.0,0.0,,1763873772.691208
memory-v1,gpt-4.1-mini,tw-treasure-3,70,"Welcome to TextWorld! First thing I need you to do is to attempt to travel south. Then, pick-up the Canadian keycard from the floor of the cubicle. With the Canadian keycard, check that the Canadian passageway inside the cubicle is unlocked with the Canadian keycard. Then, ensure that the Canadian passageway is open. After that, go to the west. After that, make an effort to go to the north. Then, retrieve the key from the floor of the workshop. Alright, thanks!",True,1.0,7,20,7,15590,478,16068,0.012472,0.0015296,0.014001600000000001,1763873774.043749,,19.26118493080139,0.14285714285714285,6.223549912870301e-05,,1763873800.304934
memory-v1,gpt-4.1-mini,tw-treasure-3,80,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to attempt to go to the north. And then, make sure that the door inside the basement is unlocked with the key. Then, ensure that the door in the basement is open. After that, move north. With that over with, attempt to take a trip west. That done, attempt to move west. Once you finish that, head north. Okay, and then, attempt to head west. And then, try to head north. Following that, take a trip east. Then, make an effort to go to the east. And then, head east. Then, venture east. And then, attempt to head south. And then, head west. Once you get through with that, pick-up the lampshade from the floor of the cellar. Got that? Good!",True,1.0,16,24,16,45156,977,46133,0.036124800000000006,0.0031264,0.03925120000000001,1763873801.6139264,,39.77954626083374,0.0625,2.167645719983526e-05,,1763873857.3934727
memory-v1,gpt-4.1-mini,tw-treasure-3,90,"Welcome to TextWorld! First off, if it's not too much trouble, I need you to go to the north. Then, open the gate. Then, head west. And then, make an effort to head north. With that done, ensure that the hatch in the steam room is open. After that, try to move west. And then, travel west. With that over with, make an effort to go to the west. If you can get through with that, make an effort to move south. After that, attempt to head south. With that accomplished, attempt to travel east. After that, try to travel south. And then, travel south. After that, take a trip east. And then, make an attempt to take a trip north. Then, go north. Okay, and then, attempt to venture north. Next, lift the sandwich from the floor of the bar. That's it!",False,0.0,27,27,18,73106,1101,74207,0.0584848,0.0035232,0.062008,1763873858.66391,,66.63087034225464,0.0,0.0,,1763873952.2947803
memory-v1,gpt-4.1-mini,tw-treasure-3,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, move west. And then, try to move south. And then, make an attempt to go to the south. With that done, retrieve the American style passkey from the basket. After that, go north. Then, unlock the American style gate in the study. And then, open the American style gate. After that, go to the east. And then, open the gate inside the sauna. After opening the gate, make an attempt to venture east. Then, make an attempt to move east. With that done, try to venture south. After that, pick-up the non-euclidean latchkey from the floor of the spare room. And then, go north. After that, make absolutely sure that the non-euclidean passageway is unlocked. After that, open the non-euclidean passageway. Then, move north. With that over with, move east. After that, make an effort to head south. Then, recover the stapler from the floor of the studio. Got that? Good!",True,1.0,20,30,20,55584,1179,56763,0.044467200000000005,0.0037727999999999998,0.048240000000000005,1763873953.5720582,,60.68486714363098,0.05,1.7617109736976553e-05,,1763874034.2569253
