agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
truncate-1,gpt-4.1-mini,tw-coin-3,1,You are now playing a profound round of TextWorld! Your task for today is to lift the coin from the floor of the studio.,True,1.0,1,20,1,1203,21,1224,0.0009624000000000001,6.72e-05,0.0010296,1763625511.023593,,-0.011568546295166016,1.0,0.0008169934640522876,,1763625512.0120244
truncate-1,gpt-4.1-mini,tw-coin-3,2,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, make an attempt to go north. With that done, pick up the coin from the floor of the sauna. That's it!",True,1.0,2,20,2,2677,36,2713,0.0021416,0.00011520000000000001,0.0022568,1763625513.2566836,,0.07042670249938965,0.5,0.00036859565057132326,,1763625515.3271103
truncate-1,gpt-4.1-mini,tw-coin-3,3,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head east. And then, go north. If you can manage that, pick up the coin from the floor of the shower. And once you've done that, you win!",True,1.0,3,20,3,4338,57,4395,0.0034704000000000002,0.00018240000000000002,0.0036528000000000003,1763625516.5518527,,0.7834019660949707,0.3333333333333333,0.00022753128555176336,,1763625520.3352547
truncate-1,gpt-4.1-mini,tw-coin-3,4,"It's time to explore the amazing world of TextWorld! First off, try to head east. And then, head east. With that done, attempt to head south. With that accomplished, recover the coin from the floor of the cellar. And if you do that, you're the winner!",False,0.0,20,20,4,29097,433,29530,0.023277600000000002,0.0013856,0.024663200000000003,1763625521.5899768,,19.972666263580322,0.0,0.0,,1763625561.562643
truncate-1,gpt-4.1-mini,tw-coin-3,5,"Who's got a virtual machine and is about to play through an exciting round of TextWorld? You do! Here is how to play! First of all, make an attempt to take a trip west. If you can get through with that, try to take a trip west. Then, go south. Then, head west. With that accomplished, pick-up the coin from the floor of the canteen. Got that? Good!",False,0.0,20,20,5,29182,463,29645,0.0233456,0.0014816,0.0248272,1763625562.7956827,,18.045645236968994,0.0,0.0,,1763625600.841328
truncate-1,gpt-4.1-mini,tw-coin-3,6,"Welcome to another fast paced round of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to make an attempt to move east. And then, try to take a trip south. After that, make an attempt to head south. Next, make an attempt to move west. After that, venture south. Next, pick up the coin from the floor of the shower. And if you do that, you're the winner!",False,0.0,20,20,6,28936,442,29378,0.0231488,0.0014144000000000001,0.0245632,1763625602.0489874,,19.26932191848755,0.0,0.0,,1763625641.3183093
truncate-1,gpt-4.1-mini,tw-coin-3,7,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head west. After that, make an effort to move north. If you can get around to doing that, make an effort to take a trip east. And then, go east. And then, move north. With that accomplished, try to move east. Then, recover the coin from the floor of the spare room. Once that's all handled, you can stop!",True,1.0,7,20,7,10674,120,10794,0.0085392,0.000384,0.008923200000000001,1763625642.5972269,,3.008058786392212,0.14285714285714285,9.264406151565684e-05,,1763625652.6052856
truncate-1,gpt-4.1-mini,tw-coin-3,8,"You are now playing a fast paced round of TextWorld! First off, if it's not too much trouble, I need you to make an attempt to go to the west. If you can finish that, attempt to go north. With that done, make an effort to travel east. After that, make an effort to head south. And then, attempt to venture east. After that, go to the east. And then, make an effort to go to the north. Okay, and then, recover the coin from the floor of the kitchen. And if you do that, you're the winner!",False,0.0,20,20,8,29590,439,30029,0.023672000000000002,0.0014048,0.025076800000000003,1763625653.8847506,,14.419785737991333,0.0,0.0,,1763625688.3045363
truncate-1,gpt-4.1-mini,tw-coin-3,9,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First of all, move east. Next, head north. With that done, try to move west. Next, make an attempt to go south. And then, go west. And then, take a trip north. Then, travel west. Next, attempt to take a trip south. And then, pick-up the coin from the floor of the washroom. Once that's all handled, you can stop!",False,0.0,20,20,9,30152,402,30554,0.024121600000000003,0.0012864,0.025408000000000003,1763625689.6286986,,15.370637893676758,0.0,0.0,,1763625724.9993365
truncate-1,gpt-4.1-mini,tw-coin-3,10,"Who's got a virtual machine and is about to play through an fast paced round of TextWorld? You do! Here is your task for today. First of all, attempt to go south. Okay, and then, make an effort to go to the east. And then, try to venture north. Then, venture north. Okay, and then, move east. With that done, move north. And then, try to travel east. After that, move south. Next, make an effort to take a trip south. And then, pick up the coin from the floor of the washroom. Alright, thanks!",False,0.0,20,20,10,29268,438,29706,0.023414400000000002,0.0014016000000000002,0.024816,1763625726.2619264,,26.76228094100952,0.0,0.0,,1763625773.0242074
truncate-1,gpt-4.1-mini,tw-coin-3,11,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, you could, like, try to go to the south. Then, try to go to the south. Next, make an effort to move east. Then, head south. Once you accomplish that, make an effort to move south. And then, attempt to venture east. And then, go to the east. After that, travel north. After that, make an effort to venture east. With that over with, attempt to go north. Then, pick up the coin from the floor of the basement. Alright, thanks!",False,0.0,20,20,11,30751,425,31176,0.024600800000000003,0.00136,0.025960800000000003,1763625774.319279,,19.560402870178223,0.0,0.0,,1763625813.8796818
truncate-1,gpt-4.1-mini,tw-coin-3,12,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Here is how to play! Your first objective is to make an effort to head west. And then, try to move west. Following that, go to the south. And then, attempt to take a trip east. After that, go to the east. And then, go to the north. With that done, try to take a trip north. After that, go west. If you can do that, venture south. After that, take a trip south. Then, try to take a trip east. After that, retrieve the coin from the floor of the cubicle. And once you've done that, you win!",False,0.0,20,20,12,30967,410,31377,0.024773600000000003,0.001312,0.026085600000000004,1763625815.183792,,15.78568959236145,0.0,0.0,,1763625850.9694817
