agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline,gpt-5.1,tw-simple-1,10,"Welcome to another fast paced episode of TextWorld! First, it would be good if you could ensure that the chest drawer is open. After that, retrieve the old key from the chest drawer. Having taken the old key, look and see that the wooden door is unlocked with the old key. After that, doublecheck that the wooden door is opened. After that, make an effort to take a trip east. Once you get through with that, ensure that the refrigerator inside the kitchen is open. And then, recover the lettuce from the refrigerator. Then, place the lettuce on the stove inside the kitchen. Alright, thanks!",True,1.0,8,20,8,16275,268,16543,0.02034375,0.00268,0.023023750000000003,1763702760.8317008,,7.718172311782837,0.125,6.044852807834129e-05,,1763702776.549873
baseline,gpt-5.1,tw-simple-1,20,"Welcome to another life changing round of TextWorld! First step, make it so that the chest drawer inside the bedroom is opened. Then, recover the old key from the chest drawer in the bedroom. Having picked up the old key, make it so that the wooden door inside the bedroom is unlocked. If you have unlocked the wooden door, make it so that the wooden door inside the bedroom is open. After that, travel east. And then, ensure that the screen door in the kitchen is open. And then, venture east. And then, travel south. After that, pick-up the lettuce from the floor of the garden. And then, make an attempt to take a trip north. After that, head west. If you can accomplish that, rest the lettuce on the stove. Once that's all handled, you can stop!",True,1.0,12,20,12,29653,395,30048,0.037066249999999995,0.00395,0.04101625,1763702777.758705,,11.954572200775146,0.08333333333333333,3.328008519701811e-05,,1763702801.713277
baseline,gpt-5.1,tw-simple-1,30,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, ensure that the chest drawer in the bedroom is open. And then, retrieve the old key from the chest drawer within the bedroom. And then, make it so that the wooden door inside the bedroom is unlocked. Then, open the wooden door. After that, take a trip east. Then, look and see that the screen door is ajar. Then, head east. After that, travel south. And then, pick up the apple from the floor of the garden. Then, go to the north. After that, make an effort to head west. And then, sit the apple on the stove inside the kitchen. And once you've done that, you win!",True,1.0,13,20,12,34094,451,34545,0.0426175,0.00451,0.0471275,1763702802.8991714,,37.65360069274902,0.07692307692307693,2.8947749312490954e-05,,1763702853.552772
baseline,gpt-5.1,tw-simple-1,40,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,False,0.625,20,20,9,57070,717,57787,0.0713375,0.007169999999999999,0.0785075,1763702854.689865,,52.24479603767395,0.03125,1.0815581359129217e-05,,1763702926.9346611
baseline,gpt-5.1,tw-simple-1,50,The dinner is almost ready! It's only missing a grilled apple.,False,0.75,20,20,12,57923,713,58636,0.07240375,0.00713,0.07953375,1763702928.1153488,,51.662304401397705,0.0375,1.2790776997066649e-05,,1763702999.7776532
baseline,gpt-5.1,tw-simple-1,60,The dinner is almost ready! It's only missing a grilled bell pepper.,False,0.0,20,20,8,69469,859,70328,0.08683625,0.00859,0.09542625,1763703000.965248,,75.98500275611877,0.0,0.0,,1763703096.9502509
baseline,gpt-5.1,tw-simple-1,70,,False,0.5,20,20,12,61987,717,62704,0.07748375,0.007169999999999999,0.08465375,1763703099.5322502,,56.13805055618286,0.025,7.973972952283745e-06,,1763703175.6703007
baseline,gpt-5.1,tw-simple-1,80,,False,0.5,20,20,12,58813,719,59532,0.07351624999999999,0.00719,0.08070625,1763703176.8809688,,52.81144571304321,0.025,8.398844319021702e-06,,1763703249.6924145
baseline,gpt-5.1,tw-simple-1,90,,False,0.0,19,20,9,58627,705,59332,0.07328375,0.00705,0.08033375,1763703250.9580116,,61.314791202545166,0.0,0.0,,1763703331.2728028
baseline,gpt-5.1,tw-simple-1,100,,False,0.0,19,20,9,58163,751,58914,0.07270375,0.00751,0.08021375,1763703332.50981,,53.4520525932312,0.0,0.0,,1763703404.9618626
