step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Driveway,"You're now in a driveway. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is a closed fiberglass door leading north. There is an exit to the east. Don't worry, there is no door.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
1,"- Current location is the driveway.
- There is a closed fiberglass door to the north.
- There is an exit to the east without a door.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.",I need to find the kitchen to check the cookbook for the recipe. The driveway has a door to the north and an exit to the east. I will try going east first to explore.,go east,,"You arrive in a street. A typical one.



There is a closed sliding door leading east. There is an exit to the west. Don't worry, there is no door.",Street,"You arrive in a street. A typical one.



There is a closed sliding door leading east. There is an exit to the west. Don't worry, there is no door.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
2,"- Current location is the street.
- There is a closed sliding door to the east.
- There is an exit to the west without a door.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- The driveway is west of the street.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.","The kitchen is likely inside the building, possibly accessed through the driveway's north door. I should return west to the driveway and then try the north door.",go west,,"You're now in a driveway. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is a closed fiberglass door leading north. There is an exit to the east. Don't worry, there is no door.",Driveway,"You're now in a driveway. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is a closed fiberglass door leading north. There is an exit to the east. Don't worry, there is no door.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
3,"- Current location is the driveway.
- There is a closed fiberglass door to the north.
- There is an exit to the east without a door.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.",I should try to open the fiberglass door to the north to enter the building and find the kitchen.,open fiberglass door,,You open fiberglass door.,Driveway,"You're now in a driveway. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is an open fiberglass door leading north. There is an exit to the east. Don't worry, there is no door.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
4,"- Current location is the driveway.
- The fiberglass door to the north is now open.
- There is an exit to the east without a door.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.",I should go north through the open fiberglass door to explore inside and find the kitchen.,go north,,"You've entered a corridor.



There is an open fiberglass door leading south. You don't like doors? Why not try going east, that entranceway is not blocked by one. You need an exit without a door? You should try going north.",Corridor,"You've entered a corridor.



There is an open fiberglass door leading south. You don't like doors? Why not try going east, that entranceway is not blocked by one. You need an exit without a door? You should try going north.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
5,"- Current location is the corridor.
- There is an open fiberglass door leading south back to the driveway.
- There is an entranceway to the east without a door.
- There is an exit to the north without a door.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.",I should go north as suggested to find the kitchen or other rooms.,go north,,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.",Kitchen,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
6,"- Current location is the kitchen.
- There is a closed fridge, an oven, a massive table with a knife on it, a vast counter with a raw purple potato, a banana, and a cookbook.
- There is a stove that is empty.
- There is a closed plain door to the north, a closed patio door to the west, and an exit to the east.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.",I should take the cookbook from the counter to check the recipe.,take cookbook from counter,,You're carrying too many things already.,Kitchen,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.","You are carrying: a raw pork chop, a red apple, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
7,"- Current location is the kitchen.
- There is a closed fridge, an oven, a massive table with a knife on it, a vast counter with a raw purple potato, a banana, and a cookbook.
- There is a stove that is empty.
- There is a closed plain door to the north, a closed patio door to the west, and an exit to the east.
- Inventory includes raw pork chop, red apple, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.
- Cannot carry more items; need to free inventory space.",I should put one of the items I am carrying down on the counter to free space to take the cookbook.,put red apple on counter,,You put the red apple on the counter.,Kitchen,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a red apple, a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.","You are carrying: a raw pork chop, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
8,"- Current location is the kitchen.
- There is a closed fridge, an oven, a massive table with a knife on it, a vast counter with a red apple, raw purple potato, banana, and a cookbook.
- There is a stove that is empty.
- There is a closed plain door to the north, a closed patio door to the west, and an exit to the east.
- Inventory includes raw pork chop, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.
- I have freed space by putting the red apple on the counter.",I should now take the cookbook from the counter to check the recipe.,take cookbook from counter,,You're carrying too many things already.,Kitchen,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a red apple, a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.","You are carrying: a raw pork chop, a raw red potato, a yellow bell pepper, a red onion, a raw yellow potato and an orange bell pepper.",0 of 16,0.0,False,
9,"- Current location is the kitchen.
- There is a closed fridge, an oven, a massive table with a knife on it, a vast counter with a red apple, raw purple potato, banana, and a cookbook.
- There is a stove that is empty.
- There is a closed plain door to the north, a closed patio door to the west, and an exit to the east.
- Inventory includes raw pork chop, raw red potato, yellow bell pepper, red onion, raw yellow potato, and orange bell pepper.
- Task is to check the cookbook in the kitchen for a recipe and then cook a meal.
- I have already put the red apple on the counter but still cannot carry more items.",I should put another item down to free space to take the cookbook.,put raw yellow potato on counter,,You put the yellow potato on the counter.,Kitchen,"You find yourself in a kitchen. A typical kind of place.

You make out a closed fridge. You see an oven. You can make out a table. What a coincidence, weren't you just thinking about a table? The table is massive. On the table you can make out a knife. You can see a counter. Make a note of this, you might have to put stuff on or in it later on. The counter is vast. On the counter you make out a raw yellow potato, a red apple, a raw purple potato, a banana and a cookbook. You make out a stove. The stove appears to be empty. This always happens, here in TextWorld!

There is a closed plain door leading north. There is a closed patio door leading west. There is an exit to the east. You need an exit without a door? You should try going south.","You are carrying: a raw pork chop, a raw red potato, a yellow bell pepper, a red onion and an orange bell pepper.",0 of 16,0.0,False,
