step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Welcome to another exciting round of TextWorld! First of all, you could, like, go to the south. And then, try to head south. And then, make an attempt to go to the east. If you can manage that, make an effort to venture south. Then, make an attempt to venture east. Next, head north. After that, go to the north. Following that, go east. Okay, and then, take a trip east. Then, try to venture south. And then, make an effort to venture south. Then, travel east. If you can accomplish that, make an effort to move north. And then, head east. With that done, travel east. Once you finish that, make an attempt to travel east. Next, go south. Then, attempt to head west. If you can succeed at that, make an attempt to head west. With that over with, try to take a trip west. Once you accomplish that, make an effort to go to the west. And then, make an effort to move north. After that, make an effort to take a trip east. And then, move east. That done, head north. If you can do that, try to go east. Following that, travel south. And then, venture west. With that done, head north. And then, take a trip north. If you can manage that, attempt to go to the north. Okay, and then, go to the west. After that, travel south. With that done, try to go east. After that, make an attempt to venture south. After that, try to head west. And then, travel north. Okay, and then, take a trip north. And then, attempt to head west. That done, go south. After that, try to head west. And then, go north. With that accomplished, travel east. After that, make an effort to go to the east. And then, move south. And then, move east. Next, make an attempt to venture north. Once you do that, make an attempt to go east. Once you get through with that, go east. Then, attempt to take a trip north. And then, move east. If you can get through with that, go to the north. If you can succeed at that, move west. With that over with, venture south. After that, try to go south. With that done, attempt to head east. With that over with, go north. After that, move north. Following that, recover the coin from the floor of the vault. Alright, thanks!",,Spotless Washroom,"You are in a washroom. A spotless one.



There is an unblocked exit to the north. There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
1,,"I will follow the instructions step-by-step, starting by going south from the Spotless Washroom.",go south,,"You are in a cookhouse. It seems to be pretty normal here.



You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",Cookhouse,"You are in a cookhouse. It seems to be pretty normal here.



You don't like doors? Why not try going north, that entranceway is unguarded. You don't like doors? Why not try going south, that entranceway is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
2,,I will continue following the instructions by going south again from the Cookhouse.,go south,,"You've entered a serious cubicle. The room is well lit.



You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",Serious Cubicle,"You've entered a serious cubicle. The room is well lit.



You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
3,,I will follow the instructions by going east from the Serious Cubicle.,go east,,"This is going to sound unbelievable, but you've just entered a pantry. The room is well lit.



There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unguarded exit? You should try going west.",Pantry,"This is going to sound unbelievable, but you've just entered a pantry. The room is well lit.



There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
4,,I will continue following the instructions by going south from the Pantry.,go south,,"Ah, the kitchen. This is some kind of kitchen, really great sweaty vibes in this place, a wonderful sweaty atmosphere.



There is an unblocked exit to the east. There is an unblocked exit to the north. There is an unguarded exit to the west.",Sweaty Kitchen,"Ah, the kitchen. This is some kind of kitchen, really great sweaty vibes in this place, a wonderful sweaty atmosphere.



There is an unblocked exit to the east. There is an unblocked exit to the north. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
5,,I will follow the instructions by going east from the Sweaty Kitchen.,go east,,"You've entered an ugly closet.



There is an unblocked exit to the east. You need an unguarded exit? You should try going north. There is an exit to the west. Don't worry, it is unblocked.",Ugly Closet,"You've entered an ugly closet.



There is an unblocked exit to the east. You need an unguarded exit? You should try going north. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
6,,I will continue following the instructions by going east from the Ugly Closet.,go east,,"You arrive in a pantry. A forgotten kind of place.



There is an exit to the west. Don't worry, it is unblocked.",Forgotten Pantry,"You arrive in a pantry. A forgotten kind of place.



There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
7,,"I will follow the instructions by going east again, but since there is no east exit, I will go back west to continue the path.",go west,,"You've entered an ugly closet.



There is an unblocked exit to the east. You need an unguarded exit? You should try going north. There is an exit to the west. Don't worry, it is unblocked.",Ugly Closet,"You've entered an ugly closet.



There is an unblocked exit to the east. You need an unguarded exit? You should try going north. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
8,,I will continue following the instructions by going north from the Ugly Closet.,go north,,"You have moved into a cookhouse. Not the cookhouse you'd expect. No, this is a steamy cookhouse.



There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",Steamy Cookhouse,"You have moved into a cookhouse. Not the cookhouse you'd expect. No, this is a steamy cookhouse.



There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,,I will continue following the instructions by going east from the Steamy Cookhouse.,go east,,"You are in a shower. A marbled one.



There is an exit to the west. Don't worry, it is unblocked.",Marbled Shower,"You are in a shower. A marbled one.



There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
10,,"I will continue following the instructions by going east, but since there is no east exit, I will go back west.",go west,,"You have moved into a cookhouse. Not the cookhouse you'd expect. No, this is a steamy cookhouse.



There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",Steamy Cookhouse,"You have moved into a cookhouse. Not the cookhouse you'd expect. No, this is a steamy cookhouse.



There is an exit to the east. Don't worry, it is unguarded. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
11,,I will continue following the instructions by going north from the Steamy Cookhouse.,go north,,"Well how about that, you are in a place we're calling an austere study.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unguarded.",Austere Study,"Well how about that, you are in a place we're calling an austere study.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unblocked. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
12,,I will continue following the instructions by going east from the Austere Study.,go east,,"Ah, the chamber. This is some kind of chamber, really great pleasant vibes in this place, a wonderful pleasant atmosphere. And now, well, you're in it. Okay, just remember what you're here to do, and everything will go great.



There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Pleasant Chamber,"Ah, the chamber. This is some kind of chamber, really great pleasant vibes in this place, a wonderful pleasant atmosphere. And now, well, you're in it. Okay, just remember what you're here to do, and everything will go great.



There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
13,,I will continue following the instructions by going east from the Pleasant Chamber.,go east,,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",Misty Shower,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
14,,"I will continue following the instructions by going east, but since there is no east exit, I will go north.",go north,,"You find yourself in a laundry place. A misty kind of place. You start to take note of what's in the room.



You need an unguarded exit? You should try going south.",Misty Laundry Place,"You find yourself in a laundry place. A misty kind of place. You start to take note of what's in the room.



You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
15,,"I will continue following the instructions by going east, but since there is no east exit, I will go east again, but no east exit is available, so I will go south.",go south,,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",Misty Shower,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
16,,I will continue following the instructions by going south from the Misty Shower.,go south,,"You arrive in a shower. A spotless one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",Spotless Shower,"You arrive in a shower. A spotless one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
17,,I will continue following the instructions by going east from the Spotless Shower.,go east,,"Look at you, bigshot, walking into a sweaty canteen like it isn't some huge deal.



There is an unguarded exit to the west.",Sweaty Canteen,"Look at you, bigshot, walking into a sweaty canteen like it isn't some huge deal.



There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
18,,"I will continue following the instructions by going east, but since there is no east exit, I will go back west.",go west,,"You arrive in a shower. A spotless one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",Spotless Shower,"You arrive in a shower. A spotless one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
19,,I will continue following the instructions by going north from the Spotless Shower.,go north,,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",Misty Shower,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
20,,I will continue following the instructions by going north from the Misty Shower.,go north,,"You find yourself in a laundry place. A misty kind of place. You start to take note of what's in the room.



You need an unguarded exit? You should try going south.",Misty Laundry Place,"You find yourself in a laundry place. A misty kind of place. You start to take note of what's in the room.



You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
21,,I will continue following the instructions by going south from the Misty Laundry Place.,go south,,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",Misty Shower,"You're now in a misty shower. You can barely contain your excitement.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
