step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.","You are carrying: a raw red potato, a red hot pepper and a raw purple potato.",0 of 8,0.0,False,
1,,I should examine the cookbook on the table to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
white onion
  orange bell pepper

Directions:
slice the white onion
  roast the white onion
  dice the orange bell pepper
  fry the orange bell pepper
  prepare meal",Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.","You are carrying: a raw red potato, a red hot pepper and a raw purple potato.",0 of 8,0.0,False,
2,,"The recipe requires a white onion and an orange bell pepper, which I do not have. I should check the fridge for these ingredients.",open fridge,,"You open the fridge, revealing a white onion, an orange bell pepper and a red onion.",Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.","You are carrying: a raw red potato, a red hot pepper and a raw purple potato.",0 of 8,0.0,False,
3,,I should take the white onion and the orange bell pepper from the fridge to prepare the recipe.,take white onion from fridge,,You're carrying too many things already.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.","You are carrying: a raw red potato, a red hot pepper and a raw purple potato.",0 of 8,0.0,False,
4,,I need to free up space in my inventory by dropping the raw potatoes and the red hot pepper before taking the required ingredients.,drop raw red potato; drop red hot pepper; drop raw purple potato,,"Which do you mean, the red potato, the red hot pepper or the red onion?",Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.","You are carrying: a raw red potato, a red hot pepper and a raw purple potato.",0 of 8,0.0,False,
5,,I will drop the raw red potato first to free up space.,drop raw red potato,,You drop the red potato on the ground.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.



There is a raw red potato on the floor.",You are carrying: a red hot pepper and a raw purple potato.,0 of 8,0.0,False,
6,,I will drop the red hot pepper next to free up more space.,drop red hot pepper,,You drop the red hot pepper on the ground.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.



There is a red hot pepper and a raw red potato on the floor.",You are carrying: a raw purple potato.,0 of 8,0.0,False,
7,,I will drop the raw purple potato to free up space for the required ingredients.,drop raw purple potato,,You drop the purple potato on the ground.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.



There is a raw purple potato, a red hot pepper and a raw red potato on the floor.",You are carrying nothing.,0 of 8,0.0,False,
8,,"Now that my inventory is empty, I will take the white onion and the orange bell pepper from the fridge.",take white onion from fridge; take orange bell pepper from fridge,,You can't see any such thing.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.



There is a raw purple potato, a red hot pepper and a raw red potato on the floor.",You are carrying nothing.,0 of 8,0.0,False,
9,,I need to open the fridge again before taking the white onion and orange bell pepper.,open fridge,,That's already open.,Kitchen,"You're now in the kitchen.

Oh, great. Here's a fridge. The fridge contains a white onion, an orange bell pepper and a red onion. You see an oven. Wow, isn't TextWorld just the best? You can make out a table. You see a cookbook and a knife on the table. If you haven't noticed it already, there seems to be something there by the wall, it's a counter. The counter is vast. On the counter you can make out a raw yellow potato. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. The stove is conventional. However, the stove, like an empty stove, has nothing on it.



There is a raw purple potato, a red hot pepper and a raw red potato on the floor.",You are carrying nothing.,0 of 8,0.0,False,
