step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.","You are carrying: a white onion, a red onion, a raw pork chop, a raw red potato, a red hot pepper, a red apple and a raw yellow potato.",0 of 15,0.0,False,
1,,I should check the cookbook on the counter to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
yellow bell pepper
  white onion
  purple potato
  red onion
  block of cheese

Directions:
slice the yellow bell pepper
  fry the yellow bell pepper
  slice the white onion
  roast the white onion
  slice the purple potato
  fry the purple potato
  slice the red onion
  fry the red onion
  chop the block of cheese
  roast the block of cheese
  prepare meal",Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.","You are carrying: a white onion, a red onion, a raw pork chop, a raw red potato, a red hot pepper, a red apple and a raw yellow potato.",0 of 15,0.0,False,
2,,"I need to gather the ingredients from the recipe: yellow bell pepper, white onion, purple potato, red onion, and block of cheese. I already have white onion and red onion, but I need to take the purple potato from the counter and find the yellow bell pepper and block of cheese, likely in the fridge.",take purple potato from counter,,You're carrying too many things already.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.","You are carrying: a white onion, a red onion, a raw pork chop, a raw red potato, a red hot pepper, a red apple and a raw yellow potato.",0 of 15,0.0,False,
3,,"I need to free up inventory space by dropping items not needed for the recipe, then take the purple potato from the counter.",drop raw pork chop,,You drop the pork chop on the ground.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a raw pork chop on the floor.","You are carrying: a white onion, a red onion, a raw red potato, a red hot pepper, a red apple and a raw yellow potato.",0 of 15,0.0,False,
4,,I still need to drop more items to make space for the purple potato. I will drop the raw red potato next.,drop raw red potato,,You drop the red potato on the ground.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a raw red potato and a raw pork chop on the floor.","You are carrying: a white onion, a red onion, a red hot pepper, a red apple and a raw yellow potato.",0 of 15,0.0,False,
5,,I still need to drop more items to make space for the purple potato. I will drop the raw yellow potato next.,drop raw yellow potato,,You drop the yellow potato on the ground.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a raw yellow potato, a raw red potato and a raw pork chop on the floor.","You are carrying: a white onion, a red onion, a red hot pepper and a red apple.",0 of 15,0.0,False,
6,,I still need to drop more items to make space for the purple potato. I will drop the red hot pepper next.,drop red hot pepper,,You drop the red hot pepper on the ground.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a red hot pepper, a raw yellow potato, a raw red potato and a raw pork chop on the floor.","You are carrying: a white onion, a red onion and a red apple.",0 of 15,0.0,False,
7,,I still need to drop one more item to make space for the purple potato. I will drop the red apple next.,drop red apple,,You drop the red apple on the ground.,Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a raw purple potato, a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a red apple, a red hot pepper, a raw yellow potato, a raw red potato and a raw pork chop on the floor.",You are carrying: a white onion and a red onion.,0 of 15,0.0,False,
8,,"Now that I have enough space, I will take the purple potato from the counter.",take purple potato from counter,,"You take the purple potato from the counter.



Your score has just gone up by one point.",Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a red apple, a red hot pepper, a raw yellow potato, a raw red potato and a raw pork chop on the floor.","You are carrying: a raw purple potato, a white onion and a red onion.",1 of 15,0.06666666666666667,False,
9,,"I need to find the yellow bell pepper and block of cheese, likely inside the fridge, so I will open the fridge to check.",open fridge,,"You open the fridge, revealing a block of cheese, a yellow bell pepper, an orange bell pepper and a carrot.",Kitchen,"You find yourself in a kitchen. A standard one. You begin to take stock of what's in the room.

You can see a fridge. The fridge contains a block of cheese, a yellow bell pepper, an orange bell pepper and a carrot. Now that's what I call TextWorld! You can make out a closed oven. You make out a table. The table is massive. On the table you can see a knife. You make out a counter. You see a banana and a cookbook on the counter. You can make out a stove. Looks like someone's already been here and taken everything off it, though. You move on, clearly upset by your TextWorld experience.



There is a red apple, a red hot pepper, a raw yellow potato, a raw red potato and a raw pork chop on the floor.","You are carrying: a raw purple potato, a white onion and a red onion.",1 of 15,0.06666666666666667,False,
