step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, try to go south. Okay, and then, try to go east. With that over with, make an effort to take a trip south. And then, go south. Then, head south. And then, move west. Then, travel north. Then, make an effort to move north. After that, go east. With that done, make an effort to venture east. After that, take a trip south. After that, head south. After that, make an attempt to go south. Once you succeed at that, go south. If you can do that, try to head west. With that done, make an effort to travel south. With that done, make an attempt to head south. And then, head east. Then, head north. Next, make an effort to head west. After that, head north. Then, make an attempt to venture north. And then, travel north. Following that, move east. After that, try to venture south. And then, head west. If you can do that, attempt to take a trip south. Then, attempt to go south. Then, make an effort to take a trip south. With that over with, move south. Once you manage that, go to the south. After that, attempt to head east. Then, move south. With that accomplished, make an effort to venture west. And then, attempt to travel south. And then, go east. And then, attempt to head east. That done, attempt to move east. Next, pick up the coin from the floor of the salon. That's it!",,Still Workshop,"You arrive in a workshop. A still one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
1,"1. [ ] Go south
2. [ ] Go east
3. [ ] Go south
4. [ ] Go south
5. [ ] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will start by going south as instructed.,go south,,"You arrive in a sauna. A standard kind of place.



There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unguarded.",Sauna,"You arrive in a sauna. A standard kind of place.



There is an exit to the east. Don't worry, it is unguarded. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
2,"1. [x] Go south
2. [ ] Go east
3. [ ] Go south
4. [ ] Go south
5. [ ] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon","Next, I will go east as the plan says.",go east,,"Ah, the spare room. This is some kind of spare room, really great typical vibes in this place, a wonderful typical atmosphere. You begin to take stock of what's here.



You need an unblocked exit? You should try going east. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Spare Room,"Ah, the spare room. This is some kind of spare room, really great typical vibes in this place, a wonderful typical atmosphere. You begin to take stock of what's here.



You need an unblocked exit? You should try going east. There is an exit to the south. Don't worry, it is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
3,"1. [x] Go south
2. [x] Go east
3. [ ] Go south
4. [ ] Go south
5. [ ] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will continue by going south as planned.,go south,,"You've entered a gloomy pantry. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unblocked exit to the south.",Gloomy Pantry,"You've entered a gloomy pantry. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
4,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [ ] Go south
5. [ ] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go south again as planned.,go south,,"You find yourself in a cellar. A forgotten kind of place. You begin to take stock of what's in the room.



You need an unblocked exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an exit to the west. Don't worry, it is unguarded.",Forgotten Cellar,"You find yourself in a cellar. A forgotten kind of place. You begin to take stock of what's in the room.



You need an unblocked exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
5,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [x] Go south
5. [ ] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go south as planned.,go south,,"You arrive in a restroom. A cramped one. You try to gain information on your surroundings by using a technique you call ""looking.""



You don't like doors? Why not try going east, that entranceway is unblocked. You need an unblocked exit? You should try going north. There is an exit to the west. Don't worry, it is unguarded.",Cramped Restroom,"You arrive in a restroom. A cramped one. You try to gain information on your surroundings by using a technique you call ""looking.""



You don't like doors? Why not try going east, that entranceway is unblocked. You need an unblocked exit? You should try going north. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
6,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [x] Go south
5. [x] Go south
6. [ ] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go west as planned.,go west,,"You are in a playroom. An usual kind of place. You can barely contain your excitement.



There is an exit to the east. Don't worry, it is unguarded. You need an unblocked exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",Playroom,"You are in a playroom. An usual kind of place. You can barely contain your excitement.



There is an exit to the east. Don't worry, it is unguarded. You need an unblocked exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
7,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [x] Go south
5. [x] Go south
6. [x] Go west
7. [ ] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go north as planned.,go north,,"Well, here we are in the clean restroom.



There is an unguarded exit to the east. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked.",Clean Restroom,"Well, here we are in the clean restroom.



There is an unguarded exit to the east. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
8,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [x] Go south
5. [x] Go south
6. [x] Go west
7. [x] Go north
8. [ ] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go north as planned.,go north,,"You've just shown up in an exciting playroom.



You need an unguarded exit? You should try going east. You need an unblocked exit? You should try going north. You need an unguarded exit? You should try going south.",Exciting Playroom,"You've just shown up in an exciting playroom.



You need an unguarded exit? You should try going east. You need an unblocked exit? You should try going north. You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
9,"1. [x] Go south
2. [x] Go east
3. [x] Go south
4. [x] Go south
5. [x] Go south
6. [x] Go west
7. [x] Go north
8. [x] Go north
9. [ ] Go east
10. [ ] Go east
11. [ ] Go south
12. [ ] Go south
13. [ ] Go south
14. [ ] Go south
15. [ ] Go west
16. [ ] Go south
17. [ ] Go south
18. [ ] Go east
19. [ ] Go north
20. [ ] Go west
21. [ ] Go north
22. [ ] Go north
23. [ ] Go north
24. [ ] Go east
25. [ ] Go south
26. [ ] Go west
27. [ ] Go south
28. [ ] Go south
29. [ ] Go south
30. [ ] Go south
31. [ ] Go east
32. [ ] Go south
33. [ ] Go west
34. [ ] Go south
35. [ ] Go east
36. [ ] Go east
37. [ ] Go east
38. [ ] Take coin from floor of salon",I will go east as planned.,go east,,"You're not going to believe this, but you've just entered an office.



There is an unblocked exit to the east. You need an unguarded exit? You should try going south. There is an unguarded exit to the west.",Office,"You're not going to believe this, but you've just entered an office.



There is an unblocked exit to the east. You need an unguarded exit? You should try going south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
